Section,Subsection,Subsubsection,Topic,Paragraph
,,,,"15. In order to comply with the requirement of Article 76 of the RTS on IRB assessment methodology that institutions should have sound policies, processes and methods for assessing and improving the quality of data used for the purpose of credit risk measurement and management processes, institutions should ensure that those policies apply to all data used in model development and calibration, as well as to the data used in the application of the risk parameters."
,,,,"16. In order for the data used in the model development and in the application of risk parameters as inputs into the model to meet the requirements of accuracy, completeness and appropriateness specified in Article 174(b) of Regulation (EU) No 575/2013, it should be sufficiently precise to avoid material distortions of the outcome of the assignment of exposures to obligors or facility grades or pools, and it should not contain any biases which make the data unfit for purpose."
,,4.2.2 Governance for data representativeness,,
,,,,"17. In order to comply with the requirement of the representativeness of data used in the PD and LGD models specified in Articles 174(c), 179(1)(d) and 179(2)(b) of Regulation (EU) No 575/2013 as well as in Articles 40 and 45 of the RTS on IRB assessment methodology, institutions should have sound policies, processes and methods for assessing the representativeness of data used for the purpose of estimation of risk parameters. Institutions should specify in their internal policies the statistical tests and metrics to be used for the purpose of assessing the representativeness of data used for risk differentiation and, separately, for data underlying the risk quantification. Institutions should also specify methods for qualitative assessment of data for the cases, defined in their policies, where the application of statistical tests is not possible."
,,,,"18. Institutions should use the same standards and methods for the assessment of representativeness of data stemming from different sources, including internal, external and pooled data or a combination of these, unless different methods are justified by the specificity of the data source or availability of information."
,,,,19. Where external or pooled data are used institutions should obtain sufficient information from the data providers to assess the representativeness of such external or pooled data to the institutions' own portfolios and processes.
,,4.2.3 Representativeness of data for model development,,
,,,,"20. Institutions should analyse the representativeness of data in the case of statistical models and other mechanical methods used to assign exposures to grades or pools, as well as in the case of statistical default prediction models generating default probability estimates for individual obligors or facilities. Institutions should select an appropriate dataset for the purpose of model development to ensure that the performance of the model on the application portfolio, in particular its discriminatory power, is not significantly hindered by insufficient representativeness of data."
,,,,"21. For the purposes of ensuring that the data used in developing the model for assigning obligors or exposures to grades or pools is representative of the application portfolio covered by the relevant model, as required in Article 174(c) of Regulation (EU) No 575/2013 and Article 40(2) of the RTS on IRB assessment methodology institutions should analyse the representativeness of the data at the stage of model development in terms of all of the following: (a) the scope of application; (b) the definition of default; (c) the distribution of the relevant risk characteristics; (d) lending standards and recovery policies."
,,,,22. For the purpose of paragraph 21(a) institutions should analyse the segmentation of exposures and consider whether there were any changes to the scope of application of the considered model over the period covered by the data used in developing the model for assigning obligors or exposures to grades or pools. Where such changes were observed institutions should analyse the risk drivers relevant for the change of the scope of application of the model by comparing their distribution in the RDS before and after the change as well as with the distribution of those risk drivers in the application portfolio. For this purpose institutions should apply statistical methodologies such as cluster analysis or similar techniques to demonstrate representativeness. In the case of pooled models the analysis should be performed with regard to the part of the scope of the model that is used by an institution.
,,,,"23. For the purpose of paragraph 21(b) institutions should ensure that the definition of default underlying the data used for model development is consistent over time and, in particular, that it is consistent with all of the following: (a) that adjustments have been made to achieve consistency with the current default definition where the default definition has been changed during the observation period; (b) that adequate measures have been adopted by the institution, where the model covers exposures in several jurisdictions having or having had different default definitions; (c) that the definition of default in each data source has been analysed separately; (d) that the definition of default used for the purposes of model development does not have a negative impact on the structure and performance of the rating model, in terms of risk differentiation and predictive power, where this definition is different from the definition of default used by the institution in accordance with Article 178 of Regulation (EU) No 575/2013."
,,,,"24. For the purpose of paragraph 21(c) institutions should analyse the distribution and range of values of key risk characteristics of the data used in developing the model for risk differentiation in comparison with the application portfolio. With regard to LGD models, institutions should perform such analysis separately for non-defaulted and defaulted exposures."
,,,,"25. Institutions should analyse the representativeness of the data in terms of the structure of the portfolio by relevant risk characteristics based on statistical tests specified in their policies to ensure that the range of values observed on these risk characteristics in the application portfolio is adequately reflected in the development sample. Where the application of statistical tests is not possible, institutions should carry out at least a qualitative analysis on the basis of the descriptive statistics of the structure of the portfolio, taking into account the possible seasoning effects referred to in Article 180(2)(f) of Regulation (EU) No 575/2013. When considering the results of this analysis, institutions should take into account the sensitivity of the risk characteristics to economic conditions. Material differences in the key risk characteristics between the data sample and the application portfolio should be  addressed, for example by using another data sample or a subset of observations or by adequately reflecting these risk characteristics as risk drivers in the model."
,,,,"26. For the purpose of paragraph 21(d) institutions should analyse whether, over the relevant historical observation period, there were significant changes in their lending standards or recovery policies or in the relevant legal environment, including changes in insolvency law, legal foreclosure procedures and any legal regulations related to realisation of collaterals, which may influence the level of risk or the distribution or ranges of the risk characteristics in the portfolio covered by the considered model. Where institutions observe such changes they should compare the data included in the RDS before and after the change of the policy. Institutions should ensure comparability of the current underwriting or recovery standards with those applied to the observations included in the RDS and used for model development."
,,,,"27. Within the PD model the representativeness of data used in developing the model for risk differentiation does not require that the proportion of defaulted and non-defaulted exposures in this dataset be equal to the proportion of defaulted and non-defaulted exposures in the institution's application portfolio. However, institutions should have a sufficient number of defaulted and non-defaulted observations in the development dataset and they should document the difference."
,,4.2.4 Representativeness of data for calibration of risk parameters,,
,,,,"28. In order for institutions to ensure that the data used in risk quantification is representative of the application portfolio covered by the relevant model in accordance with Sub-section 2 of Section 6 of Chapter 3 in Part Three of Regulation (EU) No 575/2031 and Article 45(2) of the RTS on IRB assessment methodology, institutions should analyse the comparability of the data used for the purpose of calculating long-run average default rates or long-run average LGDs as referred to in Article 179(1)(d) of Regulation (EU) No 575/2013 and, where relevant, the representativeness of the pool in accordance with Article 179(2)(b) of that Regulation, in terms of all of the following: (a) the scope of application; (b) the definition of default; (c) the distribution of the relevant risk characteristics; (d) the current and foreseeable economic or market conditions; (e) lending standards and recovery policies."
,,,,29. For the purpose of paragraph 28(a) institutions should perform an analysis as specified in paragraph 22.
,,,,"30. For the purpose of paragraph 28(b) and in order to ensure that the definition of default underlying the data used for risk quantification from each data source is consistent with the requirements of Article 178 of Regulation (EU) No 575/2013, institutions should compare the  definition of default applied by the institution currently with the definitions used for the observations included in the dataset used for risk quantification. Where the definition of default has changed during the historical observation period institutions should assess the representativeness of historical data included in the RDS and used for risk quantification in the same way as specified for external data in Chapter 6 of the EBA Guidelines on the application of the definition of default under Article 178 of Regulation (EU) No 575/2013. Where the definition of default has changed during the historical observation period more than once, institutions should perform the analysis of each of the past definitions of default separately."
,,,,31. For the purpose of paragraph 28(c) institutions should perform an appropriate analysis to ensure that at the level of the calibration segment the ranges of values of the key risk characteristics in the application portfolio are comparable to those in the portfolio constituting the reference data set for risk quantification to the degree required to ensure that the risk quantification is not biased.
,,,,"32. For the purpose of paragraph 28(d) institutions should perform the analysis of the market and economic conditions underlying the data in the following manner: (a) with regard to the PD estimation, in accordance with section 5.3.4; (b) with regard to the LGD estimation, in accordance with section 6.3.2 and taking into account the consideration of economic downturn as required by Article 181(1)(b) of Regulation (EU) No 575/2013."
,,,,"33. For the purpose of paragraph 28(e) institutions should analyse whether there were significant changes in the lending standards or recovery policies over the relevant historical observation period that may influence the level of risk or the distribution or ranges of the characteristics of relevant risk drivers in the portfolio covered by the considered model. Where institutions observe such changes they should analyse the potential bias in the estimates of risk parameters resulting from these changes in the following manner: (c) with regard to the PD estimation, in terms of the level of default rates and the likely range of variability of default rates; (d) with regard to the LGD estimation, in terms of loss rates, average duration of the recovery processes, frequencies of use of certain recovery scenarios and the loss severity distributions."
,,,,"34. Where the representativeness of data assessed in accordance with paragraphs 28 to 33 is insufficient and leads to a bias or increased uncertainty of risk quantification, institutions should introduce an appropriate adjustment to correct the bias and they should apply a margin of conservatism in accordance with section 4.4."
,4.3 Human judgement in estimation of risk parameters,,,
,,,,"35. In order for institutions to complement their statistical models with human judgement, as referred to in Articles 174(b), 174(e), 175(4), 179(1)(a) and 180(1)(d) of Regulation (EU) No 575/2013, they should do all of the following: (a) assess the modelling assumptions and whether the selected risk drivers contribute to the risk assessment in line with their economic meaning; (b) analyse the impact of the human judgement on the performance of the model and ensure that any form of human judgement is properly justified; (c) document the application of human judgement in the model, including at least the criteria for the assessment, rationale, assumptions, experts involved and description of the process."
,4.4 Treatment of deficiencies and margin of conservatism,,,
,,4.4.1 Identification of deficiencies,,
,,,,"36. Institutions should identify all deficiencies related to the estimation of risk parameters that lead to a bias in the quantification of those parameters or to an increased uncertainty that is not fully captured by the general estimation error, and classify each deficiency into one of the following categories:"
,,,,(a) Category A: Identified data and methodological deficiencies;
,,,,"(b) Category B: Relevant changes to underwriting standards, risk appetite, collection and recovery policies and any other source of additional uncertainty."
,,,,"37. For the purposes of identifying and classifying all deficiencies referred to in paragraph 36 institutions should take into account all relevant deficiencies in methods, processes, controls, data or IT systems that have been identified by the credit risk control unit, validation function, internal audit function or any other internal or external review and should analyse at least all of the following potential sources of additional uncertainty in risk quantification: (a) under category A: (i) missing or materially changed default triggers in historical observations, including changed criteria for recognition of materially past due credit obligations; (ii) missing or inaccurate date of default; (iii) missing, inaccurate or outdated rating assignment used for assessing historical grades or pools for the purpose of calculation of default rates or average realised LGDs per grade or pool;  (iv) missing or inaccurate information on the source of cash flows; (v) missing, inaccurate or outdated data on risk drivers and rating criteria; (vi) missing or inaccurate information used for the estimation of future recoveries as referred to in paragraph 159; (vii)missing or inaccurate data for the calculation of economic loss; (viii) limited representativeness of the historical observations due to the use of external data; (ix) potential bias stemming from the choice of the approach to calculating the average of observed one year default rates in accordance with paragraph 80; (x) necessity of adjusting the average of observed one-year default rates in accordance with paragraph 86; (xi) missing information for the purpose of estimating loss rates or for the purpose of reflecting economic downturn in LGD estimates; (b) under category B: (i) changes to underwriting standards, collection or recovery policies, risk appetite or other relevant internal processes; (ii) unjustified deviations in the ranges of values of the key risk characteristics of the application portfolio compared with those of the dataset used for risk quantification; (iii) changes to market or legal environment; (iv) forward-looking expectations regarding potential changes in the structure of the portfolio or the level of risk, especially based on actions or decisions that have already been taken but which are not reflected in the observed data."
,,4.4.2 Appropriate adjustment,,
,,,,"38. In order to overcome biases in risk parameter estimates stemming from the identified deficiencies referred to in paragraphs 36 and 37, institutions should apply adequate methodologies to correct the identified deficiencies to the extent possible. The impact of these methodologies on the risk parameter ('appropriate adjustment'), which should result in a more accurate estimate of the risk parameter ('best estimate'), represents either an increase or a decrease in the value of the risk parameter. Institutions should ensure and provide evidence that the application of an appropriate adjustment results in a best estimate."
,,,,"39. Institutions should document the methods used to apply appropriate adjustments to rectify the identified deficiencies, where relevant, as well as their justification. "
,,,,40. Institutions should regularly monitor the adequacy of appropriate adjustments. The adoption of an appropriate adjustment by institutions should not replace the need to address the identified deficiencies.
,,4.4.3 Margin of conservatism,,
,,,,"41. In relation to the requirement that institutions should add a margin of conservatism ('MoC') that is related to the expected range of estimation errors as required by Articles 179(1)(f) and 180(1)(e) of Regulation (EU) No 575/2013, institutions should implement a framework for quantification, documentation and monitoring of estimation errors."
,,,,"42. The final MoC on a risk parameter estimate should reflect the uncertainty of the estimation in all of the following categories: Category A: MoC related to data and methodological deficiencies identified under category A as referred to in paragraph 36(a); Category B: MoC related to relevant changes to underwriting standards, risk appetite, collection and recovery policies and any other source of additional uncertainty identified under category B as referred to in paragraph 36(b); Category C: the general estimation error."
,,,,43. In order to quantify MoC institutions should do all of the following:
,,,,"(a) quantify MoC for the identified deficiencies referred to in paragraphs 36 and 37, to the extent not covered by the general estimation error, at least for each of the categories A and B at the level of the calibration segment ensuring that:"
,,,,"(i) where appropriate adjustments in the sense of paragraph 38 are used, the MoC accounts for any increase in the uncertainty or additional estimation error associated with these adjustments;"
,,,,(ii) the MoC at category level related to the appropriate adjustments is proportionate to the uncertainty around these adjustments;
,,,,(iii) the MoC is applied to address the uncertainty of the risk parameter estimate stemming from any deficiencies among those referred to in paragraphs 36 and 37 that have not been corrected via appropriate adjustments as referred to in point
,,,,(i); (b) quantify the general estimation error of category C referred to in paragraph 42 associated with the underlying estimation method at least for every calibration segment; the MoC for the general estimation error should reflect the dispersion of the distribution of the statistical estimator.
,,,,"44. For the purpose of paragraph 43(a) and for each of the categories A and B, institutions may group all or selected deficiencies, where justified, for the purpose of quantifying MoC."
,,,,45. Institutions should quantify the final MoC as the sum of: (a) the MoC under category A as referred to in paragraph 43(a); (b) the MoC under category B as referred to in paragraph 43(a); (c) the MoC for the general estimation error (category C) as referred to in paragraph 43(b).
,,,,46. Institutions should add the final MoC to the best estimate of the risk parameter.
,,,,"47. Institutions should ensure that the impact of the final MoC does not result in lowering the risk parameter estimates and in particular that: (a) the MoC stemming from the general estimation error is greater than zero; (b) the MoC stemming from each of the categories A and B is proportionate to the increased uncertainty in the best estimate of risk parameters caused by the identified deficiencies listed in each category. In any case, the MoC under each of the categories A and B should be greater than or equal to zero."
,,,,48. Institutions should consider the overall impact of the identified deficiencies and the resulting final MoC on the soundness of the model and ensure that the estimates of the risk parameters and the resulting own funds requirements are not distorted by the necessity for excessive adjustments.
,,,,"49. For each rating system, the MoC applied should be documented in the relevant model documentation and methodology manuals. The documentation should contain at least the following: (a) a complete list of all identified deficiencies, including errors and uncertainties, and the potentially affected model components or risk parameters; (b) the category under which these deficiencies are classified, as referred to in paragraph 42; (c) a description of the methods for quantification of the MoC related to identified deficiencies as referred to in paragraph 43(a) and in particular the methodologies used to quantify the MoC per category."
,,,,"50. Institutions should regularly monitor the levels of the MoC. The adoption of a MoC by institutions should not replace the need to address the causes of errors or uncertainties, or to correct the models to ensure their full compliance with the requirements of Regulation (EU) No 575/2013. Following an assessment of the deficiencies or the sources of uncertainty,  institutions should develop a plan to rectify the data and methodological deficiencies as well as any other potential source of additional uncertainty and reduce the estimation errors within a reasonable timeframe, taking into consideration the materiality of the estimation error and the materiality of the rating system."
,,,,51. When reviewing the levels of the MoC institutions should ensure all of the following: (a) that the MoC stemming from categories A and B referred to in paragraphs 36 and 37 is included in internal reporting separately for each category and may be reduced over time and eventually eliminated once the deficiencies are rectified in all parts of the rating system that were affected; (b) that the MoC stemming from the general estimation error referred to in paragraph 43(b) is included in internal reporting in a separate category ('C'); (c) that the level of the MoC is assessed as part of the regular reviews referred to in Chapter 9 and in particular that the level of MoC related to the general estimation error remains appropriate after the inclusion of the most recent data relevant for the risk parameter estimation.
,,,,52. Institutions should ensure that necessary changes in the MoC are implemented in a timely manner. 
5 PD estimation,,,,
,5.1 General requirements specific to PD estimation,,,
,,,,"53. For the purpose of assigning obligors to an obligor grade as part of the credit approval process in accordance with Article 172(1)(a) of Regulation (EU) No 575/2013 as well as for the purpose of the review of those assignments, in accordance with Article 173(1)(b) of that"
,,,,"Regulation, institutions should ensure that each and every natural or legal person towards whom an IRB exposure exists is rated by the institution with the model approved to be used on a given type of exposures. This model should fit the single original obligor within the applicable rating system, including exposures secured by unfunded credit protection as referred to in Article 161(3) of that Regulation."
,,,,54. For the purpose of assigning retail exposures to a grade or pool as part of the credit approval process in accordance with Article 172(2) of Regulation (EU) No 575/2013 as well as for the purpose of the review of those assignments in accordance with Article 173(2) of that
,,,,"Regulation, institutions should ensure that each and every IRB exposure is rated by the institution with the model approved to be used on a given type of exposures. This model should fit the single original obligor or exposure within the applicable rating system, including exposures secured by unfunded credit protection as referred to in Article 164(2) of that"
,,,,Regulation.
,,,,55. A PD model can contain several different methods for ranking the obligors or exposures as well as various calibration segments.
,5.2 Model development in PD estimation,,,
,,5.2.1 Data requirements specific for model development,,
,,,,"56. For the purpose of model development, institutions should ensure that the RDS contains the values of the risk drivers for appropriate points in time. These points in time may vary between different risk drivers. In the selection of appropriate points in time institutions should take into account the dynamics as well as the update frequency of the risk drivers throughout the whole period in which an obligor was in the portfolio and, in the case of a default, throughout the year prior to default."
,,5.2.2 Risk drivers and rating criteria,,
,,,,"57. In the process of selecting risk drivers and rating criteria, institutions should consider a broad set of information relevant to the type of exposures covered by the rating system. Potential risk drivers analysed by institutions should include in particular the following: (a) obligor characteristics, including sector and geographic location for corporates; (b) financial information, including financial statements or income statements; (c) trend information, including growing or shrinking sales or profit margin; (d) behavioural information, including delinquency and the use of credit facilities."
,,,,58. Institutions should ensure that for the purpose of selecting risk drivers and rating criteria the relevant experts from business areas of the institution are consulted with respect to the business rationale and risk contribution of the considered risk drivers and rating criteria.
,,,,"59. Institutions should ensure that the decrease of reliability of information over time, for instance of information on obligor characteristics obtained at the time of the loan origination, is appropriately reflected in the PD estimation. Institutions should also ensure that the model estimates the proper level of risk with respect to all relevant, currently available and most up-to-date information and that an adequate MoC is applied where a higher degree of uncertainty exists due to the lack of up-to-date information. In particular the model or the assignment process should provide for an adequate and conservative adjustment in both of the following situations: (a) in accordance with Article 24(1)(g) of the RTS on IRB assessment methodology, in case of financial statements older than 24 months where information stemming from these financial statements is a relevant risk driver; (b) in the case of credit bureau information that is older than 24 months, if still relevant at that point in time, where credit bureau information is a relevant risk driver."
,,,,"60. Institutions should use the risk drivers and rating criteria consistently, in particular with respect to the considered time horizon, in model development, model calibration and model application."
,,,,"61. Where there is a significant proportion of customers using multiple facilities of the same type within a considered retail rating system institutions should analyse the level of risk of such customers compared with customers carrying only one facility of the relevant type and, where necessary, reflect the difference in the level of risk in the model through appropriate risk drivers."
,,5.2.3 Treatment of ratings of third parties,,
,,,,"62. Institutions should have clear policies specifying the conditions under which the rating of a third party who has a contractual or organisational relation with an obligor of the institution may be taken into account in the assessment of risk of the considered obligor. Such policies should take into account the following possible manners in which the rating of such a third party may be taken into account in the assessment of risk of the considered obligor:  (a) the rating of such third party being transferred to a relevant obligor ('rating transfer'), where there is no difference in risk between the obligor and the related party because of the existence of an appropriate guarantee and the rating of a third party is assigned internally in accordance with the rating system for which the institution has received permission in accordance with Article 143(2) of Regulation (EU) No 575/2013; (b) the rating of a such third party being taken into account as an indication for an override of the assignment of the relevant obligor to a grade or pool; (c) the rating of such a third party serving as an input to the PD model, reflecting contractual support of the related party for the obligor."
,,,,"63. In order for an internal or external ratings of a third party to be incorporated into a PD model, institutions should ensure all of the following: (a) that the rating of a third party fulfils all the requirements for relevant risk drivers set out in section 5.2.2; (b) that other relevant obligor and transaction risk characteristics are properly reflected in the model in accordance with Articles 170(1)(a) and 170(3)(a) of Regulation (EU) No 575/2013, and that no material biases are introduced by a high weighting of the internal or external rating information; (c) that there is no double counting of effects of any relations to third parties."
,,,,"64. A rating transfer should not change the assignment of exposures to exposure classes, rating systems or models, but should only affect the assignment to grades or pools. Rating transfers should be set up in such a way that any changes to a rating of a third party which is material information on the obligor or exposure with regard to Article 173(1)(b) of Regulation (EU) No 575/2013 is reflected in all influenced ratings in a timely manner."
,,,,"65. The material contractual support granted by an obligor to a third party should be seen as diminishing the free financial strength of the supporting obligor, including the strength to repay all obligations to the institution in full. This should be reflected in the rating of the supporting obligor."
,,5.2.4 Rating philosophy,,
,,,,66. Institutions should choose an appropriate philosophy underlying the assignment of obligors or exposures to grades or pools ('rating philosophy') taking into account all of the following principles:
,,,,(a) Institutions should assess whether the method used to quantify the risk parameter is adequate for the rating philosophy and understand the characteristics and dynamics of the assignment of obligors or exposures to grades or pools ('rating assignment') and of the risk parameter estimates that result from the method used.
,,,,"(b) Institutions should assess the adequacy of the resulting characteristics and dynamics of the rating assignment and risk parameter estimates that result from the method used, with regard to their various uses and should understand their impact on the dynamics and volatility of own funds requirements."
,,,,"(c) The rating philosophy should also be taken into account for back testing purposes. Philosophies sensitive to economic conditions tend to estimate PDs that are better predictors of each year's default rates. On the other hand, philosophies less sensitive to economic conditions tend to estimate PDs that are closer to the average PD across the various states of the economy, but that differ from observed default rates in years where the state of the economy is above or below its average. Deviations between observed default rates and the long-run average default rate of the relevant grade will hence be more likely in rating systems less sensitive to economic conditions. In contrast, migrations among grades will be more likely in rating systems which are more sensitive to economic conditions. These patterns should be taken into account when assessing the results of back-testing and, where relevant, benchmarking analysis."
,,,,"67. Institutions should apply the chosen rating philosophy consistently over time. Institutions should analyse the appropriateness of the philosophy underlying the assignment of obligors or exposures to grades or pools ('rating philosophy'), taking into account all of the following: (a) design of risk drivers; (b) migration across grades or pools; (c) changes in the yearly default rates of each grade or pool."
,,,,"68. Where institutions use different rating systems characterised by different rating philosophies, they should use the information on the rating assignments or risk parameters estimates with caution, especially when making use of rating information or default experience obtained from external rating agencies. Where institutions use different rating systems with different characteristics, such as different philosophies or different levels of objectivity, accuracy, stability, or conservatism, they should ensure that the rating systems have an appropriate level of consistency and that any differences between them are well understood. Such understanding should at least enable the institution to define an appropriate way to combine or aggregate the information produced by the various rating systems when this is necessary according to the institution's policies. Institutions should have full understanding of the assumptions and potential inaccuracies arising from such a combination or aggregation."
,,5.2.5 Homogeneity of obligor grades or pools,,
,,,,"69. In order to comply with the requirements of Article 170(1) and 170(3)(c) of Regulation (EU) No 575/2013 and of Article 38 of the RTS on IRB assessment methodology, institutions should check the homogeneity of obligors or exposures assigned to the same grades or pools. In particular, grades should be defined in such a manner that each obligor within each grade or  pool has a reasonably similar risk of default and that significant overlaps of the distributions of the default risk between grades or pools are avoided."
,5.3 PD calibration,,,
,,5.3.1 Data requirements for the calculation of observed default rates,,
