Part,Title,Chapter,Section,Subsection,Article,Hyperlink,Content,Annex,Article_number
,,,,,Article 89: Risk weighting and prohibition of qualifying holdings outside the financial sector,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/3101,2. The total amount of the qualifying holdings of an institution in undertakings other than those referred to in points (a) and (b) of paragraph 1 that exceeds 60 % of its eligible capital shall be subject to the provisions laid down in paragraph 3.,,89
,,,,,Article 89: Risk weighting and prohibition of qualifying holdings outside the financial sector,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/3101,3. Competent authorities shall apply the requirements laid down in point (a) or (b) to qualifying holdings of institutions referred to in paragraphs 1 and 2:,,89
,,,,,Article 89: Risk weighting and prohibition of qualifying holdings outside the financial sector,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/3101,"(a) for the purpose of calculating the capital requirement in accordance with Part Three, institutions shall apply a risk weight of 1 250 % to the greater of the following:",,89
,,,,,Article 89: Risk weighting and prohibition of qualifying holdings outside the financial sector,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/3101,(i) the amount of qualifying holdings referred to in paragraph 1 in excess of 15 % of eligible capital;,,89
,,,,,Article 89: Risk weighting and prohibition of qualifying holdings outside the financial sector,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/3101,(ii) the total amount of qualifying holdings referred to in paragraph 2 that exceed 60 % of the eligible capital of the institution;,,89
,,,,,Article 89: Risk weighting and prohibition of qualifying holdings outside the financial sector,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/3101,(b) the competent authorities shall prohibit institutions from having qualifying holdings referred to in paragraphs 1 and 2 the amount of which exceeds the percentages of eligible capital laid down in those paragraphs.,,89
,,,,,Article 89: Risk weighting and prohibition of qualifying holdings outside the financial sector,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/3101,Competent authorities shall publish their choice of (a) or (b).,,89
,,,,,Article 89: Risk weighting and prohibition of qualifying holdings outside the financial sector,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/3101,"4. For the purposes of point (b) of paragraph 1, EBA shall issue guidelines specifying the following concepts:",,89
,,,,,Article 89: Risk weighting and prohibition of qualifying holdings outside the financial sector,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/3101,(a) activities that are a direct extension of banking;,,89
,,,,,Article 89: Risk weighting and prohibition of qualifying holdings outside the financial sector,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/3101,(b) activities ancillary to banking;,,89
,,,,,Article 89: Risk weighting and prohibition of qualifying holdings outside the financial sector,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/3101,(c) similar activities.,,89
,,,,,Article 89: Risk weighting and prohibition of qualifying holdings outside the financial sector,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/3101,Those guidelines shall be adopted in accordance with Article 16 of Regulation (EU) No 1093/2010.,,89
,,,,,Article 90: Alternative to 1 250 % risk weight,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/839,"As an alternative to applying a 1 250 % risk weight to the amounts in excess of the limits specified in Article 89(1) and (2), institutions may deduct those amounts from Common Equity Tier 1 items in accordance with point (k) of Article 36 (1).",,90
,,,,,Article 91: Exceptions,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/845,1. Shares of undertakings not referred to in points (a) and (b) of Article 89(1) shall not be included in calculating the eligible capital limits specified in that Article where any of the following conditions is met:,,91
,,,,,Article 91: Exceptions,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/845,(a) those shares are held temporarily during a financial assistance operation as referred to in Article 79;,,91
,,,,,Article 91: Exceptions,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/845,(b) the holding of those shares is an underwriting position held for five working days or fewer;,,91
,,,,,Article 91: Exceptions,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/845,(c) those shares are held in the own name of the institution and on behalf of others.,,91
,,,,,Article 91: Exceptions,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/845,2. Shares which are not financial fixed assets as referred to in Article 35(2) of Directive 86/635/EEC shall not be included in the calculation specified in Article 89.,,91
PART THREE: CAPITAL REQUIREMENTS,,,,,,,,,
,"TITLE I: GENERAL REQUIREMENTS, VALUATION AND REPORTING",,,,,,,,
,,CHAPTER 1: Required level of own funds,,,,,,,
,,,Section 1: Own funds requirements for institutions,,,,,,
,,,,,Article 92: Own funds requirements,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/536,"1.   Subject to Articles 93 and 94, institutions shall at all times satisfy the following own funds requirements:",,92
,,,,,Article 92: Own funds requirements,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/536,"(a) a Common Equity Tier 1 capital ratio of 4,5 %;",,92
,,,,,Article 92: Own funds requirements,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/536,(b) a Tier 1 capital ratio of 6 %;,,92
,,,,,Article 92: Own funds requirements,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/536,(c) a total capital ratio of 8 %.,,92
,,,,,Article 92: Own funds requirements,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/536,2.   Institutions shall calculate their capital ratios as follows:,,92
,,,,,Article 92: Own funds requirements,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/536,(a) the Common Equity Tier 1 capital ratio is the Common Equity Tier 1 capital of the institution expressed as a percentage of the total risk exposure amount;,,92
,,,,,Article 92: Own funds requirements,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/536,(b) the Tier 1 capital ratio is the Tier 1 capital of the institution expressed as a percentage of the total risk exposure amount;,,92
,,,,,Article 92: Own funds requirements,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/536,(c) the total capital ratio is the own funds of the institution expressed as a percentage of the total risk exposure amount.,,92
,,,,,Article 92: Own funds requirements,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/536,3.   Total risk exposure amount shall be calculated as the sum of points (a) to (f) of this paragraph after taking into account the provisions laid down in paragraph 4:,,92
,,,,,Article 92: Own funds requirements,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/536,"(a) the risk-weighted exposure amounts for credit risk and dilution risk, calculated in accordance with Title II and Article 379, in respect of all the business activities of an institution, excluding risk-weighted exposure amounts from the trading book business of the institution;",,92
,,,,,Article 92: Own funds requirements,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/536,"(b) the own funds requirements, determined in accordance with Title IV of this Part or Part Four, as applicable, for the trading-book business of an institution, for the following:",,92
,,,,,Article 92: Own funds requirements,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/536,(i) position risk;,,92
,,,,,Article 92: Own funds requirements,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/536,"(ii) large exposures exceeding the limits specified in Articles 395 to 401, to the extent an institution is permitted to exceed those limits;",,92
,,,,,Article 92: Own funds requirements,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/536,"(c) the own funds requirements determined in accordance with Title IV or Title V with the exception of Article 379, as applicable, for the following:",,92
,,,,,Article 92: Own funds requirements,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/536,(i) foreign-exchange risk;,,92
,,,,,Article 92: Own funds requirements,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/536,(ii) settlement risk;,,92
,,,,,Article 92: Own funds requirements,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/536,(iii) commodities risk;,,92
,,,,,Article 92: Own funds requirements,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/536,(d) the own funds requirements calculated in accordance with Title VI for credit valuation adjustment risk of OTC derivative instruments other than credit derivatives recognised to reduce risk-weighted exposure amounts for credit risk;,,92
,,,,,Article 92: Own funds requirements,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/536,(e) the own funds requirements determined in accordance with Title III for operational risk;,,92
,,,,,Article 92: Own funds requirements,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/536,(f) the risk-weighted exposure amounts determined in accordance with Title II for counterparty risk arising from the trading book business of the institution for the following types of transactions and agreements:,,92
,,,,,Article 92: Own funds requirements,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/536,(i) contracts listed in Annex II and credit derivatives;,,92
,,,,,Article 92: Own funds requirements,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/536,"(ii) repurchase transactions, securities or commodities lending or borrowing transactions based on securities or commodities;",,92
,,,,,Article 92: Own funds requirements,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/536,(iii) margin lending transactions based on securities or commodities;,,92
,,,,,Article 92: Own funds requirements,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/536,(iv) long settlement transactions.,,92
,,,,,Article 92: Own funds requirements,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/536,4.   The following provisions shall apply in the calculation of the total risk exposure amount referred to in paragraph 3:,,92
,,,,,Article 92: Own funds requirements,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/536,"(a) the own funds requirements referred to in points (c), (d) and (e) of that paragraph shall include those arising from all the business activities of an institution;",,92
,,,,,Article 92: Own funds requirements,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/536,"(b) institutions shall multiply the own funds requirements set out in points (b) to (e) of that paragraph by 12,5.",,92
,,,,,Article 93: Initial capital requirement on going concern,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/538,1.   The own funds of an institution may not fall below the amount of initial capital required at the time of its authorisation.,,93
,,,,,Article 93: Initial capital requirement on going concern,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/538,"2.   Credit institutions that were already in existence on 1 January 1993, the amount of own funds of which do not attain the amount of initial capital required may continue to carry out their activities. In that event, the amount of own funds of those institutions may not fall below the highest level reached with effect from 22 December 1989.",,93
,,,,,Article 93: Initial capital requirement on going concern,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/538,"3.   Authorised investment firms and firms that were covered by Article 6 of Directive 2006/49/EC which were in existence before 31 December 1995, the amount of own funds of which do not attain the amount of initial capital required may continue to carry out their activities. The own funds of such firms or investment firms shall not fall below the highest reference level calculated after the date of notification contained in Council Directive 93/6/EEC of 15 March 1993 on the capital adequacy of investments firms and credit institutions (28). That reference level shall be the average daily level of own funds calculated over a six month period preceding the date of calculation. It shall be calculated every six months in respect of the corresponding preceding period.",,93
,,,,,Article 93: Initial capital requirement on going concern,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/538,"4.   Where control of an institution falling within the category referred to in paragraph 2 or 3 is taken by a natural or legal person other than the person who controlled the institution previously, the amount of own funds of that institution shall attain the amount of initial capital required.",,93
,,,,,Article 93: Initial capital requirement on going concern,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/538,"5.   Where there is a merger of two or more institutions falling within the category referred to in paragraph 2 or 3, the amount of own funds of the institution resulting from the merger shall not fall below the total own funds of the merged institutions at the time of the merger, as long as the amount of initial capital required has not been attained.",,93
,,,,,Article 93: Initial capital requirement on going concern,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/538,"6.   Where competent authorities consider it necessary to ensure the solvency of an institution that the requirement laid down in paragraph 1 is met, the provisions laid down in paragraphs 2 to 5 shall not apply.",,93
,,,,,Article 94: Derogation for small trading book business,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/540,"1.   Institutions may replace the capital requirement referred to in point (b) of Article 92(3) by a capital requirement calculated in accordance with point (a) of that paragraph in respect of their trading-book business, provided that the size of their on- and off-balance sheet trading-book business meets both the following conditions:",,94
,,,,,Article 94: Derogation for small trading book business,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/540,(a) it is normally less than 5 % of the total assets and EUR 15 million;,,94
,,,,,Article 94: Derogation for small trading book business,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/540,(b) it never exceeds 6 % of total assets and EUR 20 million.,,94
,,,,,Article 94: Derogation for small trading book business,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/540,"2.   In calculating the size of on- and off-balance sheet business, institutions shall apply the following:",,94
,,,,,Article 94: Derogation for small trading book business,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/540,"(a) debt instruments shall be valued at their market prices or their nominal values, equities at their market prices and derivatives according to the nominal or market values of the instruments underlying them;",,94
,,,,,Article 94: Derogation for small trading book business,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/540,(b) the absolute value of long positions shall be summed with the absolute value of short positions.,,94
,,,,,Article 94: Derogation for small trading book business,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/540,"3.   Where an institution fails to meet the condition in point (b) of paragraph 1 it shall immediately notify the competent authority. If, following assessment by the competent authority, the competent authority determines and notifies the institution that the requirement in point (a) of paragraph 1 is not met, the institution shall cease to make use of paragraph 1 from the next reporting date.",,94
,,,Section 2: Own funds requirements for investment firms with limited authorisation to provide investment...,,,,,,
,,,,,Article 95: Own funds requirements for investment firms with limited authorisation to provide investment...,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/546,"1. For the purposes of Article 92(3), investment firms that",,95
,,,,,Article 95: Own funds requirements for investment firms with limited authorisation to provide investment...,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/546,are not authorised to provide the investment services and activities listed in points (3) and (6) of Section A of Annex I to,,95
,,,,,Article 95: Own funds requirements for investment firms with limited authorisation to provide investment...,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/546,Directive 2004/39/EC shall use the calculation of the total risk,,95
,,,,,Article 95: Own funds requirements for investment firms with limited authorisation to provide investment...,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/546,exposure amount specified in paragraph 2.,,95
,,,,,Article 95: Own funds requirements for investment firms with limited authorisation to provide investment...,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/546,2. Investment firms referred to in paragraph 1 of this Article,,95
,,,,,Article 95: Own funds requirements for investment firms with limited authorisation to provide investment...,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/546,and firms referred to in point (2)(c) of Article 4(1) that provide,,95
,,,,,Article 95: Own funds requirements for investment firms with limited authorisation to provide investment...,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/546,the investment services and activities listed in points (2) and (4),,95
,,,,,Article 95: Own funds requirements for investment firms with limited authorisation to provide investment...,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/546,of Section A of Annex I to Directive 2004/39/EC shall calculate,,95
,,,,,Article 95: Own funds requirements for investment firms with limited authorisation to provide investment...,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/546,the total risk exposure amount as the higher of the following:,,95
,,,,,Article 95: Own funds requirements for investment firms with limited authorisation to provide investment...,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/546,(a) the sum of the items referred to in points (a) to (d) and (f),,95
,,,,,Article 95: Own funds requirements for investment firms with limited authorisation to provide investment...,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/546,of Article 92(3) after applying Article 92(4);,,95
,,,,,Article 95: Own funds requirements for investment firms with limited authorisation to provide investment...,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/546,"(b) 12,5 multiplied by the amount specified in Article 97.",,95
,,,,,Article 95: Own funds requirements for investment firms with limited authorisation to provide investment...,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/546,Firms referred to in point (2)(c) of Article 4(1) that provide the,,95
,,,,,Article 95: Own funds requirements for investment firms with limited authorisation to provide investment...,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/546,investment services and activities listed in points (2) and (4) of,,95
,,,,,Article 95: Own funds requirements for investment firms with limited authorisation to provide investment...,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/546,Section A of Annex I to Directive 2004/39/EC shall meet the,,95
,,,,,Article 95: Own funds requirements for investment firms with limited authorisation to provide investment...,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/546,requirements in Article 92(1) and (2) based on the total risk,,95
,,,,,Article 95: Own funds requirements for investment firms with limited authorisation to provide investment...,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/546,exposure amount referred to in the first subparagraph.,,95
,,,,,Article 95: Own funds requirements for investment firms with limited authorisation to provide investment...,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/546,Competent authorities may set the own funds requirements for,,95
,,,,,Article 95: Own funds requirements for investment firms with limited authorisation to provide investment...,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/546,firms referred to in point (2)(c) of Article 4(1) that provide the,,95
,,,,,Article 95: Own funds requirements for investment firms with limited authorisation to provide investment...,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/546,investment services and activities listed in points (2) and (4) of,,95
,,,,,Article 95: Own funds requirements for investment firms with limited authorisation to provide investment...,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/546,Section A of Annex I to Directive 2004/39/EC as the own funds,,95
,,,,,Article 95: Own funds requirements for investment firms with limited authorisation to provide investment...,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/546,requirements that would be binding on those firms according to,,95
,,,,,Article 95: Own funds requirements for investment firms with limited authorisation to provide investment...,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/546,the national transposition measures in force on 31 December,,95
,,,,,Article 95: Own funds requirements for investment firms with limited authorisation to provide investment...,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/546,2013 for Directives 2006/49/EC and 2006/48/EC.,,95
,,,,,Article 95: Own funds requirements for investment firms with limited authorisation to provide investment...,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/546,3. Investment firms referred to in paragraph 1 are subject to,,95
,,,,,Article 95: Own funds requirements for investment firms with limited authorisation to provide investment...,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/546,all other provisions regarding operational risk laid down in Title,,95
,,,,,Article 95: Own funds requirements for investment firms with limited authorisation to provide investment...,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/546,"VII, Chapter 2, Section II, Sub-section 2 of Directive",,95
,,,,,Article 95: Own funds requirements for investment firms with limited authorisation to provide investment...,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/546,2013/36/EU.,,95
,,,,,Article 96: Own funds requirements for investment firms which hold initial capital as laid down in Article 28(2...,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/548,"1.   For the purposes of Article 92(3), the following categories of investment firm which hold initial capital in accordance with Article 28(2) of Directive 2013/36/EU shall use the calculation of the total risk exposure amount specified in paragraph 2 of this Article:",,96
,,,,,Article 96: Own funds requirements for investment firms which hold initial capital as laid down in Article 28(2...,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/548,(a) investment firms that deal on own account only for the purpose of fulfilling or executing a client order or for the purpose of gaining entrance to a clearing and settlement system or a recognised exchange when acting in an agency capacity or executing a client order;,,96
,,,,,Article 96: Own funds requirements for investment firms which hold initial capital as laid down in Article 28(2...,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/548,(b) investment firms that meet all the following conditions:,,96
,,,,,Article 96: Own funds requirements for investment firms which hold initial capital as laid down in Article 28(2...,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/548,(i) they do not hold client money or securities;,,96
,,,,,Article 96: Own funds requirements for investment firms which hold initial capital as laid down in Article 28(2...,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/548,(ii) they undertake only dealing on own account;,,96
,,,,,Article 96: Own funds requirements for investment firms which hold initial capital as laid down in Article 28(2...,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/548,(iii) they have no external customers;,,96
,,,,,Article 96: Own funds requirements for investment firms which hold initial capital as laid down in Article 28(2...,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/548,(iv) their execution and settlement transactions take place under the responsibility of a clearing institution and are guaranteed by that clearing institution.,,96
,,,,,Article 96: Own funds requirements for investment firms which hold initial capital as laid down in Article 28(2...,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/548,"2.   For investment firms referred to in paragraph 1, total risk exposure amount shall be calculated as the sum of the following:",,96
,,,,,Article 96: Own funds requirements for investment firms which hold initial capital as laid down in Article 28(2...,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/548,(a) points (a) to (d) and (f) of Article 92(3) after applying Article 92(4);,,96
,,,,,Article 96: Own funds requirements for investment firms which hold initial capital as laid down in Article 28(2...,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/548,"(b) the amount referred to in Article 97 multiplied by 12,5.",,96
,,,,,Article 96: Own funds requirements for investment firms which hold initial capital as laid down in Article 28(2...,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/548,"3.   Investment firms referred to in paragraph 1 are subject to all other provisions regarding operational risk laid down in Title VII, Chapter 3, Section II, Sub-section 1 of Directive 2013/36/EU.",,96
,,,,,Article 97: Own Funds based on Fixed Overheads,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/613,"1. In accordance with Articles 95 and 96, an investment firm and firms referred to in point (2)(c) of Article 4(1) that provide the investment services and activities listed in points (2) and (4) of Section A of Annex I to Directive 2004/39/EC shall hold eligible capital of at least one quarter of the fixed overheads of the preceding year.",,97
,,,,,Article 97: Own Funds based on Fixed Overheads,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/613,"2. Where there is a change in the business of an investment firm since the preceding year that the competent authority considers to be material, the competent authority may adjust the requirement laid down in paragraph 1.",,97
,,,,,Article 97: Own Funds based on Fixed Overheads,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/613,"3. Where an investment firm has not completed business for one year, starting from the day it starts up, an investment firm shall hold eligible capital of at least one quarter of the fixed overheads projected in its business plan, except where the competent authority requires the business plan to be adjusted.",,97
,,,,,Article 97: Own Funds based on Fixed Overheads,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/613,4. EBA in consultation with ESMA shall develop draft regulatory technical standards to specify in greater detail the following:,,97
,,,,,Article 97: Own Funds based on Fixed Overheads,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/613,(a) the calculation of the requirement to hold eligible capital of at least one quarter of the fixed overheads of the previous year;,,97
,,,,,Article 97: Own Funds based on Fixed Overheads,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/613,(b) the conditions for the adjustment by the competent authority of the requirement to hold eligible capital of at least one quarter of the fixed overheads of the previous year;,,97
,,,,,Article 97: Own Funds based on Fixed Overheads,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/613,(c) the calculation of projected fixed overheads in the case of an investment firm that has not completed business for one year.,,97
,,,,,Article 97: Own Funds based on Fixed Overheads,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/613,EBA shall submit those draft regulatory technical standards to the Commission by 1 March 2014.,,97
,,,,,Article 97: Own Funds based on Fixed Overheads,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/613,Power is delegated to the Commission to adopt the regulatory technical standards referred to in the first subparagraph in accordance with Articles 10 to 14 of Regulation (EU) No 1093/ 2010.,,97
,,,,,Article 98: Own funds for investment firms on a consolidated basis,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/615,"1. In the case of the investment firms referred to in Article 95(1) in a group, where that group does not include credit institutions, a parent investment firm in a Member State shall apply Article 92 at a consolidated level as follows:",,98
,,,,,Article 98: Own funds for investment firms on a consolidated basis,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/615,(a) using the calculation of total risk exposure amount specified in Article 95(2);,,98
,,,,,Article 98: Own funds for investment firms on a consolidated basis,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/615,"(b) own funds calculated on the basis of the consolidated situation of the parent investment firm or that of the financial holding company or mixed financial holding company, as applicable",,98
,,,,,Article 98: Own funds for investment firms on a consolidated basis,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/615,.,,98
,,,,,Article 98: Own funds for investment firms on a consolidated basis,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/615,"2. In the case of investment firms referred to in Article 96(1) in a group, where that group does not include credit institutions, a parent investment firm in a Member State and an investment firm controlled by a financial holding company or mixed financial holding company shall apply Article 92 on a consolidated basis as follows:",,98
,,,,,Article 98: Own funds for investment firms on a consolidated basis,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/615,(a) it shall use the calculation of total risk exposure amount specified in Article 96(2);,,98
,,,,,Article 98: Own funds for investment firms on a consolidated basis,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/615,"(b) it shall use own funds calculated on the basis of the consolidated situation of the parent investment firm or that of the financial holding company or mixed financial holding company, as applicable, and in compliance with Chapter 2 of Title II of Part One.",,98
,,CHAPTER 2: Calculation and reporting requirements,,,,,,,
,,,,,Article 99: Reporting on own funds requirements and financial information,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/3601,1. Reporting by institutions to the competent authorities on the obligations laid down in Article 92 shall be carried out at least on a semi-annual basis.,,99
,,,,,Article 99: Reporting on own funds requirements and financial information,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/3601,"2. Institutions subject to Article 4 of Regulation (EC) No 1606/2002 and credit institutions other than those referred to in Article 4 of that Regulation that prepare their consolidated accounts in conformity with the international accounting standards adopted in accordance with the procedure laid down in Article 6(2) of that Regulation, shall also report financial information.",,99
,,,,,Article 99: Reporting on own funds requirements and financial information,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/3601,3. Competent authorities may require those credit institutions applying international accounting standards as applicable under Regulation (EC) No 1606/2002 for the reporting of own funds on a consolidated basis pursuant to Article 24(2) of this Regulation to also report financial information as laid down in paragraph 2 of this Article.,,99
,,,,,Article 99: Reporting on own funds requirements and financial information,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/3601,4. The financial information referred to in paragraphs 2 and 3 shall be reported to the extent this is necessary to obtain a comprehensive view of the risk profile of an institution's activities and a view on the systemic risks posed by institutions to the financial sector or the real economy in accordance with Regulation (EU) No 1093/2010.,,99
,,,,,Article 99: Reporting on own funds requirements and financial information,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/3601,"5. EBA shall develop draft implementing technical standards to specify the uniform formats, frequencies, dates of reporting, definitions and the IT solutions to be applied in the Union for the reporting referred to in paragraphs 1 to 4.",,99
