Topic,Chapter,Section,Subsection,Article,Content
,,,,18,"The ECB considers it good practice for institutions to have a dedicated independent unit with an overall view of and responsibility for the management of data quality. Where an independent unit is established, the size of this unit should be proportionate to the nature, size and degree of complexity of the institution's business and organisational structure."
,,,2.4.2 Scope of the data quality management framework,,
,,,,19,"The data quality management framework: (a) should cover all relevant data quality dimensions: completeness, accuracy, consistency, timeliness, uniqueness, validity, availability and traceability (see paragraph 21); (b) should cover the whole data life cycle, from data entry to reporting, and encompass both historical data and current application databases."
,,,,20,"If institutions use data provided by third parties, the ECB considers it good practice for them to ensure that the third party has data quality processes in place to ensure the accuracy, completeness and appropriateness of the data provided."
,,,2.4.3 Data quality standards in the data quality management framework,,
,,,,21,"In accordance with Article 174(b) of the CRR, institutions must implement a process for vetting data inputs into the model which must include an assessment of the accuracy, completeness and appropriateness of data. The ECB understands that, in order to comply with this requirement, institutions should establish data quality standards that set the objectives and overall scope of the data quality management process. To this end, these standards should be defined for the following data quality dimensions for all data inputs into the model and at each stage of the data life cycle: (a) completeness (values are present in any attributes that require them); (b) accuracy (data are substantively error-free); (c) consistency (a given set of data can be matched across the institution's different data sources); (d) timeliness (data values are up-to-date); (e) uniqueness (aggregate data are free from any duplication arising from filters or other transformations of source data); (f) validity (data are founded on an adequate and rigorous classification system that ensures their acceptance); (g) availability/accessibility (data are made available to the relevant stakeholders); (h) traceability (the history, processing and location of the data under consideration can be easily traced)."
,,,2.4.4 Data quality controls,,
,,,,22,Data quality should be measured in an integrated and systematic way. The measurement system and the frequency of its application should be formalised.
,,,,23,Indicators and their corresponding tolerance levels and thresholds should be set in order to monitor compliance with the standards established and should be combined with visual systems (e.g. red/amber/green traffic-light system) and dashboards for monitoring and reporting purposes.
,,,,24,"Indicators should be supported by effective and sufficient data quality checks and controls throughout the data life cycle, from data entry to reporting, and for both historical data and current application data. Data quality checks and controls should include reconciliation across and within systems, including between accounting and IRB data. An effective control framework should therefore be in place to ensure that sound controls and related procedures are implemented, especially for manual processes."
,,,2.4.5 Remediation of data quality issues,,
,,,,25,A process for the identification and remediation of data quality deficiencies should be in place in order to constantly improve data quality and promote compliance with the data quality standards.
,,,,26,"Data quality assessments should be carried out independently (see paragraphs 17 and 18) and recommendations should be issued with an indication of their priority, based on the materiality of the incidents identified. All such data quality incidents should be recorded and monitored. For each of the data quality incidents, an owner responsible for resolving the incident should be appointed and an action plan for dealing with the incident drawn up on the basis of the priority assigned. Remediation timelines should depend on the severity and impact of the incident and the implementation timelines required to resolve it. Data quality incidents should be resolved at source level or, if this is not possible, mitigated by taking a prudent approach."
,,,2.4.6 Data quality reporting,,
,,,,27,"In accordance with Article 189(2)(c) of the CRR, the institution's senior management must ensure, on an ongoing basis, that the ratings systems are working properly. To accomplish this, the ECB understands that a formal reporting process on the quality of risk data should be in place with the objective of improving the quality of data and enabling an assessment of the potential impact of data quality in own fund requirements calculations. In general, this reporting should be presented in a standardised format with clear and concise content, including the following: (a) comprehensive overview of the performance of the model in terms of data quality, including external data and pooled data, if any, at all stages of the IRB life cycle, from data entry to reporting, for both historical data and current exposure data; (b) findings and, where applicable, recommendations to address detected weaknesses or shortfalls; (c) sufficient and appropriate evidence that the recommendations have been adequately addressed and properly implemented (e.g. by means of a status report). From the source system in which the incidents are present down to the IRB datasets or systems."
,,,,28,"In accordance with Article 189(1) of the CRR, the management body or a designated committee thereof and senior management must possess a general understanding of the rating systems of the institution and a detailed comprehension of its associated management reports. To comply with this requirement, the ECB understands that reports on the quality of risk data should be submitted to these parties. In addition, the ECB considers it good practice for these reports to also be submitted to all other relevant staff, including modellers, internal validation, internal audit, data quality managers, data owners and other business units involved."
,,,,29,"Data quality reports should be produced and submitted to senior management more frequently than annually to enable senior management to ensure, on an ongoing basis, that the rating systems are operating properly in accordance with Article 189(2)(c) of the CRR."
,3 Use of data,,,,
,,3.1 Relevant regulatory references,,,
,,,,30,"In accordance with Article 144(1)(d) of the CRR, institutions must collect and store all relevant data to provide effective support to their credit risk measurement and management processes. Furthermore, good data quality is a fundamental condition for developing a robust rating system. The ECB considers that, to comply with these requirements and ensure the quality of data, institutions should have sound policies, processes and methods in place, under paragraphs 15 to 34 of the EBA GL on PD and LGD for assessing and improving the quality and representativeness of the data used in the modelling and risk quantification process."
,,,,31,"Since the data-related requirements of the CRR also apply in cases where an institution estimates CCFs, paragraph 30 is also relevant for such institutions."
,,3.2 Use of external data,,,
,,,,32,"Data-related requirements established under the CRR apply to all data: internal, external or pooled. In the ECB's understanding, therefore, paragraph 30 is also relevant in the event that an institution uses external or pooled data. The principles on the collection and storage of data are relevant to the institutions' own data and to the data received from the pool."
,,,,33,"To ensure that credit risk management and measurement processes are built on appropriate data, for the purposes of risk differentiation, risk quantification and review of estimates institutions should assess whether external data can be used to complement internal data when they consider they do not have sufficient available internal data."
,,,,34,"In addition, when institutions use different data sources (including different external databases, whether or not combined with internal data) for the purpose of risk quantification, there could be a risk that the sources include common obligors among the data sources used for risk quantification. This could lead to bias or double-counting effects in the calculation of one-year default rates. To avoid this risk, institutions should develop the necessary processes in order to identify common obligors within these databases and ensure that each common obligor is only taken into account once in the calculation of one-year default rates. When institutions are not able to identify common obligors, they should analyse potential bias or double-counting effects in the calculation of one-year default rates. These bias or double-counting effects should be reflected appropriately in the computation of one-year default rates and long-run average (LRA) default rates."
,,,,35,"If an institution uses statistical models and other mechanical methods to assign exposures to obligors or facilities grades or pools, the data used to build the model must be representative of the population of the institution's actual obligors or facilities. If external data are used, the same requirements with regard to representativeness must be applicable vis-a-vis the bank's portfolio or portfolio subset for which the external data are used."
,,,,36,"Proving representativeness in cases where an institution uses external data is generally more difficult, as internal data are scarce. If an institution cannot provide sufficient proof that the external data are representative, in the ECB's view it may still use external data if it shows (by quantitative analysis and/or qualitative argumentation) that the information gained from the use of the external data outweighs any drawbacks stemming from the deficiencies identified and an appropriate margin of conservatism (MoC) is applied. In particular, institutions should provide evidence that the model's performance does not deteriorate when including information derived from the external data, and that the parameter estimates are not biased. To assess these issues, the institution should conduct quantitative and qualitative analyses specifically designed for this purpose."
,,,,37,"In accordance with Article 174(b) of the CRR, if an institution uses statistical models and other mechanical methods to assign exposures to obligors or facilities grades or pools, it must have in place a process for vetting data inputs to the model, which should include an assessment of the accuracy, completeness and appropriateness of the data. In addition, and in accordance with Article 179(1)(a), in quantifying the risk parameters to be associated with rating grades or pools institutions must incorporate all relevant data, information and methods. To comply with these requirements, institutions should ensure that, when external data are used for risk differentiation, risk quantification or review of estimates, they know the data sources and the most relevant data processing operations of the variables acting as direct model inputs performed by the data provider. Institutions should be able to differentiate between internal and external data and to document which information is internal and which information is received from external data sources. To ensure that the data remain appropriate, institutions should provide an adequate rationale in the event that, for the purpose of risk differentiation, risk quantification or review of estimates, they modify the external data acquired, select only part of a wider external database or use different external providers."
,,3.3 Use of external bureau scores or external ratings as input variables in the rating process,,,
,,,,38,"Where an institution uses external credit bureau scores or external ratings as input variables in the rating process, and in particular when externally sourced scores are the main (or one of the main) input variable(s) of the overall internal rating, there is a risk that an internal model may not consider all relevant information. In the ECB's understanding, institutions mitigate this risk when they comply with the following principles. (a) The external scores or ratings and/or data are regularly updated or refreshed, especially where credit bureau information is dynamic and is used not only for the application rating but also for the ongoing behavioural rating. (b) Institutions understand the structure and nature of external scores or ratings and their key drivers. They also regularly verify that the results of the credit bureau score continue to be appropriate input variables in their credit rating process, for example by reviewing any changes in the credit bureau score methodology. The greater the importance of the external scores or ratings, the greater understanding institutions should demonstrate of their structure, nature and key drivers and the higher the frequency that should be considered in monitoring the appropriateness of these external scores or ratings. (c) Validation requirements are similar to those applied to other internal and external input variables. (d) Even when the external score or rating is the main (or one of the main) driver(s) of the internal rating, the institution ensures that all relevant internal information regarding the creditworthiness of the obligor is taken into account with sufficient weighting in the internal rating. In addition, the institution demonstrates that the additional relevant internal information considered in the model and its weighting are sufficient to ensure that the internal rating does not merely take on the results of the external bureau scores or the external ratings used. (e) When institutions make use of external scores or ratings or any other judgement-based assessment provided by a third party as input variables in the rating process, they should ensure that any potential correlation between the relevant risk drivers does not lead to bias or a doublecounting effect in the risk parameter estimates. This can be especially relevant in these cases, due to the potential use of duplicated information. (f) The institution remains responsible for the performance of the model."
,,3.4 Use of pooled data,,,
,,,,39,"The use of pooled data is treated similarly to the situation where internal data are combined with data derived from a different (and external) set of obligors or facilities, as mentioned in Section 3.2."
,,,,40,"In accordance with Article 179(2)(a) of the CRR, where an institution uses data that are pooled across institutions the rating systems and criteria of other institutions in the pool must be similar to its own. To comply with this requirement an institution should, among other things: (a) ensure that there is a common definition of the key drivers and processes; (b) ensure that policies and procedures considered for human judgement, including overrides, can be applied in a comparable and similar manner across all participating institutions."
,,3.5 Use of purchased rating systems or models (pool models),,,
,,,,41,"In accordance with the last sentence of Article 144(1) of the CRR, the requirements to use an IRB approach, including own estimates and CCFs, apply also where an institution has implemented a rating system, or model used within a rating system, that it has purchased from a third-party vendor. To comply with this provision, institutions should ensure in such cases that all relevant internal information for model development and parameter calibration is taken into account. In particular, LRAs of default rates, LGD and CCFs based only on internal data should always be computed and considered for calibration. The institution remains responsible for the performance of the rating system or model."
,,,,42,"In addition, to ensure the integrity of the rating systems or internal models when institutions make use of pool models, and to comply with Article 144(1) of the CRR, the principles set out below should be followed. (a) If PD estimates are calculated using pooled data, institutions should verify that the data used for risk quantification meet the data requirements for default rate calculation as clarified in paragraph 80 below, or that the data are adjusted accordingly. (b) Where several institutions use a common pool model, each should ensure that its rating process is aligned to the extent that all input risk drivers are defined in the same way across all participating institutions. The institutions should also ensure that all assessments of the qualitative components of the rating model are performed in a comparable manner. (c) If a pool model is used for the estimation of risk parameters and the model-relevant parts of the process for managing distressed obligors (including the strategy before and after default) of the participating institutions are not aligned, these differences should be appropriately taken into account within the model or through an appropriate adjustment, in accordance with paragraph 37(a)(viii) of the EBA GL on PD and LGD. In the case of a pool model for the estimation of LGD parameters, differences in the model-relevant parts of the workout processes should also be taken into account within the model or through an appropriate adjustment. (d) Institutions should ensure that all relevant internal information with respect to the creditworthiness of an obligor is taken into account and the rating is updated with new information in a timely manner. (e) Each institution should remain responsible for the performance of the rating model on its own portfolio."
,,,,43,"To ensure that its ratings systems are operating properly on an ongoing basis, if an institution introduces systematic adjustments to the outputs of the pool model, the institution concerned should initiate internal procedures to analyse whether significant weaknesses in the model exist and whether a model change needs to be triggered."
,,3.6 Consistency in the definition of default,,,
,,,,44,"In accordance with Article 178(4) of the CRR, institutions that use external data that are not in themselves consistent with the definition of default laid down in paragraph 1 of that Article must make appropriate adjustments to achieve broad equivalence with the definition of default. To comply with this requirement, institutions should ensure that when they make use of external data or pooled data they have a complete understanding of the definition of default applied to these data and perform a comparison between the definition of default used and the requirements of Article 178 of the CRR. If there are differences between the definition of default applied in the external or pooled data and the institution's own definition of default, the institution should assess the differences and describe the adjustments made to the risk estimates, in order to achieve the required level of consistency with the internal definition of default. It should also include an appropriate MoC to account for the adjustments included. These adjustments should be appropriately documented and justified, in particular by providing reasonable assurance that they do not undermine the validity of the approach for the purposes of risk differentiation and risk quantification."
,,3.7 Use of human judgement,,,
,,,,45,"In accordance with Article 171(1)(a) of the CRR, institutions must have specific definitions, processes and criteria for assigning exposures to grades or pools. The grade and pool definitions must be sufficiently detailed. To comply with this provision, institutions should ensure that, when human judgement is used in the assignment of exposures to grades or pools, there is a framework in place that establishes clear and detailed guidelines and procedures on the application of human judgement (e.g. through the use of pre-defined questionnaires). The use of human judgement should be documented in a way that ensures the rating assignment can be understood and replicated by a third party. To ensure the replicability and consistency of the rating assignment process, the principles set out below should be followed. (a) The basic structure of the model should be applied consistently and not modified by human judgement. It should, in particular, consist of: (i) the minimum data sources to be used for the grade/pool assignment; (ii) the complete list of pre-defined risk drivers which need to be assessed individually and for which the assessments need to be stored; (iii) the importance of and the evaluation criteria for the risk drivers, particularly the functional relationship between risk drivers and the assigned rating (before overrides); (iv) the procedures and steps to be followed during the assessment, including the steps where overrides can be applied. (b) Institutions should assess the consistency of the rating assignment process. To this end, they should define the tests and analyses in a way that is proportionate to the degree of human judgement applied. In cases where human judgement is the main component of the rating assignment process, these tests should at least include an analysis of consistency in a representative sample by having obligors re-rated independently by different analysts. The results of the ratings consistency assessment should be analysed against pre-defined thresholds as part of the framework for review of estimates."
,,,,46,"In accordance with Article 172(3) of the CRR, for grade and pool assignments institutions must document the situations in which human judgement may override the inputs or outputs of the assignment process and the personnel responsible for approving these overrides. In the context of this requirement, the ECB understands that an override is a judgement-based and discretionary action that contributes to the assessment of the obligor's creditworthiness as obtained through pre-defined components of the rating system. These comprise both automatic/quantitative components and qualitative variables. An override constitutes a direct intervention to an input or to an intermediate or final output of the rating assignment process, through an adjustment or replacement of that input or intermediate/final output which is obtained under the regular assignment process. Overrides should be limited to information relevant to the obligor's creditworthiness, if this is not captured well by the predefined components of the model."
,,,,47,"Within a rating assignment process, the use of pre-defined risk drivers in the form of qualitative model inputs should be distinguished from overrides. These judgement-based or qualitative variables are expected to be considered under the regular assignment process and as part of the pre-defined components of the rating system. Therefore, they are not themselves considered as overrides."
,,,,48,"Whenever the functional relationship between the risk drivers and the assigned rating as specified in paragraph 45(a)(iii) is circumvented, for example in cases where the last-assigned rating deviates from the rating that would be assigned on the basis of this functional relationship, it is considered to be an override. For the purposes of Article 172(3) of the CRR, it should therefore be specified in the policies and criteria for the use of overrides in the rating assignment process."
,,,,49,"In accordance with Article 174(e) of the CRR, the results of the statistical model must be complemented by human judgement, especially by taking into account all information not included in the model. The higher the number of relevant observations, the more the institution should rely on the outcomes of the statistical model."
,,,,50,"In addition, when human judgement is used for the purpose of model development, for example in setting the model's assumptions, the identification of risk drivers and determination of their weights, or the identification and combination of model components, there is a risk of the model-based assignments being inaccurate. To mitigate this risk, institutions should ensure that the incorporation of human judgement is appropriately managed and proportionate to the number of relevant available observations."
,,,,51,"For the purposes of quantifying the risk parameters to be associated with grades or pools, estimates must not be based purely on judgemental considerations. To this end, where human judgement is used to a greater extent because of the low number of relevant available observations, institutions should apply a higher MoC to their estimates to account for additional uncertainty."
,,,,52,"In addition, whenever human judgement is used in the estimation of risk parameters (for either risk differentiation or risk quantification purposes) institutions are expected to have in place a framework under paragraph 35 of the EBA GL on PD and LGD."
,4 Probability of default,,,,
,,4.1 Structure of PD models,,,
,,,4.1.1 Relevant regulatory references,,
,,,,53,"In accordance with Article 179(1)(a) of the CRR, estimates must be based on the material drivers of the risk parameters. The relevant material risk drivers and rating criteria may be taken into consideration in several ways: (a) when assigning exposures to different PD models; (b) at a PD model level when assigning exposures to different ranking/scoring methods; (c) as explanatory variables in ranking/scoring methods; (d) as drivers in the process for the assignment of PDs to grades or pools (e.g. calibration segments)."
,,,,54,"When choosing the risk drivers for the models, there is a risk that risk drivers that capture the characteristics of defaulted obligors could be inappropriately inferred as relevant risk drivers for the portfolio. To mitigate this risk, institutions should take appropriate measures against model misspecification with regard to overfitting. This is particularly relevant where default data for the development of the model are scarce."
,,,,55,"In accordance with Article 144(1)(a) of the CRR, institutions' rating systems must provide for a meaningful assessment of obligor and transaction characteristics, a meaningful differentiation of risk and accurate and consistent quantitative estimates of risk. To comply with this requirement, it is the ECB's understanding that PD models should perform adequately on economically significant and material sub-ranges of application. The sub-ranges are identified by splitting the full range of application of the PD model into different parts on the basis of potential drivers for risk differentiation, including the following non-exhaustive list of drivers, where relevant: (a) for PD models covering exposures to small and medium-sized enterprises (SMEs): country, industry (e.g. statistical classification of economic activities in the European Community (abbreviated as NACE) code section classification A to U), size of obligor (e.g. different buckets in terms of total assets), past delinquency (e.g. obligors with delinquency events, i.e. days past due, in the last 12 months); (b) for PD models covering retail exposures: client type (e.g. high net worth/private banking, other individuals, self-employed, SMEs), product type (e.g. consumer credit, credit card, other), region (e.g. nomenclature of territorial units for statistics (NUTS) 1, 2 or 3 as defined by Eurostat), past delinquency (e.g. obligors with delinquency events, i.e. days past due, in the last 12 months), maturity (e.g. original or remaining maturity); (c) for PD models covering retail exposures secured by real estate: region (e.g. NUTS 1, 2 or 3 as defined by Eurostat), type of real estate (e.g. residential, commercial, other), past delinquency (e.g. obligors with delinquency events, i.e. days past due, in the last 12 months), maturity (e.g. original or remaining maturity); (d) for PD models covering exposures to financial institutions: business model (deposit-taking institutions, investment banking, insurance firms, other), jurisdiction (or global region as appropriate) and size (defined buckets of total assets); (e) for PD models covering exposures to large corporates: industry (e.g. NACE code section classification A to U), country (or global region as appropriate) and size (defined buckets of total turnover)."
,,,,56,"In accordance with Article 169(1) of the CRR, where an institution uses multiple rating systems, the rationale for assigning an obligor or a transaction to a rating system must be documented and applied in a manner that appropriately reflects the level of risk. To comply with this requirement institutions should, in terms of the range of application of a PD model: (a) clearly describe its range of application (and sub-divisions into different ranking/scoring methods and calibration segments) and also include an explanation of the risk drivers which the institution considered when designing the process but has decided not to use for the assignment of the obligor to the rating system; (b) ensure that there are no overlaps in the range of application of different PD models and that each obligor or facility to which the IRB approach should be applied can be clearly assigned to one particular PD model."
,,,4.1.2 Risk differentiation,,
Principles for all model types,,,,,
,,,,57,"Article 170 of the CRR lays down requirements related to the structure of rating systems. To comply with these requirements and with reference to Articles 36 to 38 of the Final Draft RTS on assessment methodology for IRB, institutions should, among other things, ensure a meaningful differentiation of risk over time which takes into account (i) the distribution of obligors or facilities; (ii) the homogeneity of obligors or facilities assigned to the same grade or pool; and (iii) the different levels of risk across obligors or facilities assigned to different grades or pools to which a different PD is applied."
,,,,58,"To ensure that the PD model performs adequately in terms of risk differentiation, institutions should adopt the following approach. (a) Define metrics (considering both their evolution over time and specific reference dates) with well-specified targets, taking into account tolerance levels that reflect the uncertainty of the metrics, and take action, where necessary, to rectify any deviations from these targets that exceed the tolerance levels. Separate targets and tolerances may be defined for initial development and ongoing performance. (b) Ensure that the tools used to assess risk differentiation are sound and adequate considering the available data. The risk differentiation is expected to be demonstrated on time series of realised default rates for grades or pools under different economic conditions."
Principles specific for grades and pools,,,,,
,,,,59,"A grade or pool is understood by the ECB as the subset of obligors or facilities to which the same PD is applied for the calculation of regulatory capital requirements, irrespective of how this PD has been assigned (e.g. through the use of masterscales)."
Distribution of obligors or facilities across grades or pools,,,,,
,,,,60,"Articles 170(1)(c) and (d) and 170(3)(b) and (c) of the CRR require, among other things, that the number of grades and pools is adequate to achieve meaningful risk differentiation and quantification of the PD at the grade or pool level. To comply with this requirement, institutions should: (a) justify the criteria applied when determining the number of grades or pools and the proportion of obligors or facilities assigned to each; (b) ensure that the concentration of numbers of obligors or facilities is not excessive in any grade or pool; any significant concentrations should be supported by convincing empirical evidence of the homogeneity of risk for those obligors or facilities; (c) ensure that no grade or pool has too few obligors or facilities, unless this is supported by convincing empirical evidence of the adequacy of the grouping of the exposures in question."
Homogeneity within grades,,,,,
,,,,61,"Articles 170(1)(b) and (d) and 170(3)(b) and (c) of the CRR require, among other things, that the structure of rating systems must ensure the homogeneity of obligors or facilities assigned to the same grade or pool. In accordance with this requirement and under paragraph 69 of the EBA GL on PD and LGD: (a) homogeneity is understood as obligors or facilities assigned to a grade having a reasonably similar default risk to ensure that the grade-level default rate is representative of all obligors or facilities in that grade; (b) in cases where it is found (through the use of additional drivers or a different discretisation of the existing ones) that a material subset of obligors or facilities within a grade/pool yields a significantly different default rate to that of the rest of the grade or pool, this is considered to indicate a lack of homogeneity."
Risk differentiation across grades or pools,,,,,
,,,,62,"To comply with the requirement to ensure adequate risk differentiation across grades or pools, institutions should ensure that there are no significant overlaps in the distribution of the default risk between grades or pools. This should be ensured through a meaningful differentiation of the default rates of each grade."
Principles specific for direct estimates,,,,,
,,,,63,See paragraph 90.
,,,4.1.3 Grade assignment dynamics,,
,,,,64,"In order to ensure a meaningful assessment of obligor characteristics, when assigning obligors or facilities to a grade or pool institutions should follow paragraphs 66 to 68 of the EBA GL on PD and LGD. Although the time horizon used in PD estimation is one year, it is the ECB's understanding that the rating/grade/pool assignment process should also adequately anticipate and reflect risk over a longer time horizon and take into account plausible changes in economic conditions. In order to achieve this objective: (a) all relevant information should be included in the rating/grade/pool assignment process, giving an appropriate balance between drivers that are predictive only over a short time horizon and drivers that are predictive over a longer time horizon; (b) a horizon of two to three years is considered to be appropriate for most portfolios; (c) in accounting for plausible changes in economic conditions, the institution should consider at least past observed default patterns; (d) the model should perform under different economic conditions. As a consequence of the above, institutions' grade assignment dynamics should also adequately anticipate and reflect in the assignment of grades the risk over the longer time horizon. For clarity, this does not mean that grades remain stable over the longer time horizon in the event of changes in the risks that are specific to the obligor."
,,,,65,"Additionally, the following principles apply under the specific situations considered in (a) to (c) below:  (a) when using external scores or ratings (e.g. from an external bureau or external rating agency) as drivers for the purpose of risk differentiation within a specific model, institutions should identify the grade assignment dynamics embedded in the external rating and understand the effect on their own grade assignment dynamics, considering the other risk drivers used; (b) when using external ratings as target variables for the purpose of risk differentiation within a specific model (see Section 4.1.5), institutions should preserve their own grade assignment dynamics by taking the appropriate measures when necessary; (c) when mapping internal grades to external grades in order to use external default rates to estimate PD, institutions should ensure that the grade assignment dynamics of the external ratings are sufficiently similar to their own internal grade assignment dynamics, or perform the necessary adjustments during risk quantification to compensate for any differences."
,,,4.1.4 Use of ratings of third parties,,
