Chapter,Section,Article,Paragraph
,,,"(10) As the rating systems are the core of the IRB Approach, and their quality may impact significantly the level of own funds requirements, the performance of the rating systems should be regularly reviewed. Given that rating systems have to be assessed at least annually by competent authorities (as referred to in Article 78 of Directive 2013/36/EU) and by the internal audit (according to Article 191 of Regulation (EU) No 575/2013), and given that, in order for this task to be performed, input from the validation function is necessary, it is appropriate that the validation of the performance of the ratings systems covering material portfolios and back-testing of all other rating systems should be performed at least annually."
,,,"(11) All areas of the IRB Approach should be effectively covered by internal audits. Nevertheless, an efficient use of the internal audit resources should be ensured so that internal audit focuses on the most risky areas. Some flexibility is important particularly in the case of those institutions that use numerous rating systems. As a consequence, competent authorities should verify that annual reviews are performed in order to determine areas that require more thorough reviews during the year."
,,,"(12) In order to ensure a minimum level of harmonisation in relation to the scope of use of the rating systems (the so-called 'use test'), competent authorities should verify that the rating systems are incorporated in the relevant processes of the institution within the broader processes of risk management, credit approval and decision- making processes, internal capital allocation, and corporate governance functions. These are basic areas where internal processes require the use of risk parameters, therefore if there are differences between the risk parameters used in those areas and those used for the purpose of the calculation of own funds requirements, they have to be well justified."
,,,"(13) In relation to experience test requirements, while assessing whether the rating systems used by the institution prior to the application to use the IRB Approach were 'broadly in line' with the IRB requirements, competent authorities should verify in particular that during at least three years before the use of the IRB Approach, the rating system has been used in the internal risk measurement and management processes of the institution and that it has been subject to monitoring, internal validation and internal audit. Such specification is necessary to ensure a minimum level of harmonisation. At least the most basic areas of use have to be covered to prove that the rating systems have been effectively used by the institution and that both the personnel as well as the management are accustomed to those parameters and understand well their meaning and weaknesses. Finally, monitoring, validation and internal audit during the experience period should ensure that the rating systems were compliant with the basic requirements of the IRB Approach and that they were gradually improved during that time."
,,,"(14) Independence of the process of assignment of exposures to grades or pools is required for non-retail exposures because the application of human judgement is typically necessary in the process. In the case of retail exposures the assignment process is usually fully automatic, based on objective information about the obligor and his transactions. The correctness of the assignment process is ensured by proper implementation of the rating system in the institution's IT systems and procedures. Nevertheless if overrides are allowed human judgement has to be applied in the rating process. As a result, and given that people responsible for origination or renewal of exposures are typically inclined to assign better ratings in order to increase sales and volumes of credits, where overrides are used, including in the case of retail exposures,  the assignment should be approved by an individual or by a committee independent from the persons responsible for the origination or renewal of exposures."
,,,"(15) Where ratings are older than 12 months or where the review of the assignment has not been performed in due time according to the institution's policy, conservative adjustments should be performed in terms of the risk weighted assets calculation. The reasons for that are multiple. If the rating is outdated or based on outdated information the risk assessment might not be accurate. In particular, if the situation of the obligor has deteriorated during the last 12 months it is not reflected in the rating, and the risk is underestimated. In addition, according to the general rule related to the estimation of the risk parameters, whenever there is uncertainty related to insufficient data or assumptions, an increased margin of conservatism should be adopted. The same rule should apply to the process of assignment of exposures to grades or pools, i.e. due to insufficient information having been taken into account in the assignment process, an additional margin of conservatism should be adopted in the calculation of risk weights. The method of applying additional margin of conservatism in the calculation of risk weights should not be specified as the institution may adjust either the rating, the risk parameter estimation or the risk weight directly. The adjustment should be proportional to the length of the period during which the rating or the information underlying the rating is out-of-date."
,,,"(16) Article 175(3) of Regulation (EU) No 575/2013 requires institutions to document the specific definitions of default and loss used internally and ensure consistency with the definitions set out in that Regulation. In assessing this consistency each institution should therefore have clear policies that specify when an obligor or facility is classified as being in default. These should be consistent with the general principles regarding default as referred to in Article 178, paragraphs (1) to (3) of that Regulation. These policies should also be embedded into the institutions' risk management processes and systems since Article 144(1)(b) of Regulation (EU) No 575/2013 requires in particular that internal ratings, i.e. including the assignment to a default rating grade, play an essential role in the risk management and other internal processes of an institution."
,,,"(17) The information on the performance of an obligor and on the exposures in default and those not in-default, is the basis for the institution's internal processes, for the quantification of risk parameters and for the calculation of own funds requirements. Therefore not only the identification of defaulted obligors but also the process of reclassification of defaulted obligors to non-defaulted status should be robust and effective. The prudent reclassification process should make sure that obligors are not reclassified to a non-defaulted status where the institution expects that the exposure will probably return to default in a short period of time."
,,,"(18) In order to provide competent authorities with a consistent and accurate overview of the rating systems that the institution has been using as well as their improvement over time, it is necessary for competent authorities to assess the completeness of the register of the current and historical versions of rating systems used by the institution ('register of rating systems'). Given that the requirements of the experience test relate to the preceding three years from the time of consideration of an application for approval of an internal model, and given that there is also the requirement of overall review of the internal model by competent authorities on a regular basis, and at least every 3 years, as referred to in Article 101 of Directive 2013/36/EU, it would be appropriate for competent authorities to verify that such a register of rating systems covers at least the versions of the internal models used by the institution over the three preceding years."
,,,"(19) Human judgement is used at various stages of the development and use of rating systems. Reasonable application of human judgement can increase the quality of the model and the accuracy of its predictions. Nevertheless, since human judgement changes the estimates based on prior experience in a subjective manner, the application of human judgement should be controlled and justified by a positive impact on the accuracy of predictions. Thus, a large number of overrides of the results of the model might indicate that some important information is not included in the rating system. Therefore competent authorities should verify that the number and justifications for overrides is regularly analysed by institutions and that any detected weaknesses of the model are adequately addressed in the model review."
,,,"(20) In all cases the competent authorities should assess whether the institution has adopted sufficient margin of conservatism, as referred to in Article 179(1)(f) of Regulation (EU) No 575/2013. This conservatism should account, in particular, for any identified deficiencies in data or methods used in the risk quantification and increased uncertainty that might result for example from the changes in the lending or recovery policies. The competent authorities should verify that the margin of conservatism is applied irrespective of the requirements of Article 146 of Regulation (EU) No 575/2013, as that Article aims at ensuring that models are corrected in a timely manner to meet the requirements of that Regulation; hence the application of the margin of conservatism should not be used as an alternative to correcting the models and ensuring their full compliance with the requirements of that Regulation."
,,,"(21) It is desirable that the PD estimates are relatively stable over time in order to avoid the excessive cyclicality of own funds requirements. To achieve that, the PD estimates should be based on the long-run average of yearly default rates. In addition, as the own funds should help institutions survive in a time of stress, the risk estimates should take into account the possible deterioration in the economic conditions even in the times of prosperity. Finally, whenever there is an increased uncertainty that results from insufficient data, an additional margin of conservatism should be adopted. If the length of available time series does not encompass the expected variability of default rates, appropriate methods should be adopted to account for the missing data."
,,,"(22) The LGD estimation is required to be based on the average weighted by the number of defaults, as provided by Article 181(1)(a) of Regulation (EU) No 575/2013. If however the exposure value is a relevant risk driver, it should be considered among other potential risk drivers for the segregation or risk differentiation of LGD in order to ensure that the parameter is calculated for homogenous pools or facility grades. This approach ensures consistency with the calculation of the PD parameter and a meaningful application of the risk weight formula. Regulation (EU) No 575/2013 distinguishes the LGD calculation method at the level of individual exposures for the purpose of risk weighted exposure amounts from the LGD calculated at the portfolio level. Differently from the individual LGD calculation, the LGD floor for exposures secured by immovable property, applied at the overall portfolio level, is defined as an exposure-weighted average LGD."
,,,"(23) Defaulted exposures that, after the return to non-defaulted status, are classified as defaulted again in a short period of time should be treated as constantly defaulted from the first moment when the default occurred, as the temporary reclassification to nondefaulted status is most likely performed on the basis of incomplete information on the real situation of the obligor. As a result the treatment of multiple defaults as one default better represents the real default experience and competent authorities should treat  multiple defaults of the same obligor within a short period of time as one default. Further, the treatment of multiple defaults of the same obligor as separate defaults might lead to significant errors in risk parameter estimates, because higher default rates would lead to higher PD estimates. On the other hand the LGD would be underestimated, because the first defaults of the obligor would be treated as cure cases with no loss related to them, where in fact the institution experienced loss on that obligor; Additionally, due to the relations between PD and LGD estimates and in order to ensure adequate estimation of expected loss, the treatment of multiple defaults should be consistent for the purpose of PD and LGD estimation."
,,,"(24) The scope of information available for the institution with regard to defaulted exposures is significantly different from the performing exposures. In particular, two additional risk drivers are available, namely the time in-default and recoveries realised. Therefore the estimation of LGD at a time before the default is not sufficient, because the risk estimates should take into account all significant risk drivers. Additionally, for defaulted exposures it is already known what the economic conditions were at the moment of default. Further, LGD for defaulted exposures should reflect the sum of expected loss under current economic circumstances and possible unexpected loss that might occur during the recovery period. Therefore competent authorities should verify that LGD in-default is estimated either directly or as a sum of best estimate of expected loss ('ELbe') and an add-on that captures the unexpected loss that might occur during the recovery period. Irrespective of the approach applied the estimation of LGD indefault should take into account the information on the time in-default and recoveries realised so far and consider a possible adverse change in economic conditions during the expected length of the recovery process."
,,,"(25) In the case of institutions using own-LGD estimates internal requirements for collateral management should be generally consistent with requirements of Section 3, Chapter 4, Title II in Part three of Regulation (EU) No 575/2013. Competent authorities should focus in particular on the requirements of collateral valuation and legal certainty. This is because it is important to ensure regular and reliable valuation of collateral, and that the valuation reflects the real market value under current market conditions. The frequency and character of revaluation should be adjusted to the type of collateral, as outdated or inaccurate evaluation might lead to the underestimation of risk related with the credit exposures. It is also crucial to ensure that the collateral is legally effective and enforceable in all relevant jurisdictions. In the contrary case, the exposure should be treated as unsecured; if nevertheless such collateral is recognised in the risk quantification, it may lead to the underestimation of risk."
,,,"(26) For the purpose of the advanced IRB Approach, i.e. where own-LGD estimates are used, eligible guarantors are those that are rated with a rating system approved under the IRB Approach. Other guarantors may also be eligible, provided that they are classified as an institution, a central government or central bank, or a corporate entity that has a credit assessment by an ECAI, and the guarantee meets the requirements set out in Section 3, Chapter 4, Title II in Part three of Regulation (EU) No 575/2013, which are also applicable for the Standardised Approach. The effect of the guarantee may be recognised through the adjustment of PD or LGD estimates. In the case of the guarantors that are internally rated with a rating system approved under the IRB Approach the effect of the guarantee can alternatively be recognised by applying Article 153(3) of Regulation (EU) No 575/2013. Such an approach towards the eligibility of the guarantors is prudent and ensures that the quality of the guarantee and  the guarantor is properly assessed in order to include it in the risk estimates for the purpose of the calculation of own funds requirements."
,,,"(27) In the assessment of the process of assignment of exposures to exposure classes, competent authorities should focus on the assignment of exposures to retail exposures because of their preferential treatment in terms of risk weighted exposure amounts calculation."
,,,"(28) Some exposure classes are defined on the basis of the characteristics of the transaction and others on the basis of the type of obligor; as a result, there might be exposures that fulfil the criteria of more than one exposure classes. Therefore there is a need for competent authorities to verify that the institution applies the correct sequencing in order to ensure the consistent and unequivocal assignment of exposures to exposure classes."
,,,"(29) The results of the stress tests should be taken into account in the decision making process in the area of risk and capital management processes, because the integration of the stress tests results in the decision making processes ensures that the scenarios and their impact on own funds requirements are developed and performed in a meaningful manner and that forward-looking aspects of own funds requirements are taken into account in managing the institution."
,,,"(30) Institutions that use own-LGD and own conversion factors estimates should calculate effective maturity of the exposures under the IRB Approach for the purpose of the calculation of own funds requirements. In the case of revolving exposures, an institution is at risk for a longer period than the repayment date of the current drawing, given that the borrower may redraw additional amounts. Therefore, competent authorities should verify that the calculation of effective maturity of revolving exposures is based on the expiry date of the facility."
,,,"(31) The calculation of the difference between expected loss amounts and credit risk adjustments, additional value adjustments and other own funds reductions ('IRB shortfall') in line with Article 159 of Regulation (EU) No 575/2013 should be performed on an aggregate level separately for the portfolio of defaulted exposures and the portfolio of exposures that are not in default. The separation between defaulted and non-defaulted exposures is necessary in order to ensure that the negative amounts resulting from the calculation performed for the defaulted portfolio are not used to offset the positive amounts resulting from the calculation performed for the portfolio of exposures that are not in default. Apart from that the overall calculation is in line with the general concept of own funds, according to which the own funds should be fully available to cover unexpected losses in case of insolvency of the institution. Since the amounts of credit risk adjustments, additional value adjustments and other own funds reductions included in the calculation of IRB shortfall have already been deducted from own funds to cover the expected losses ('EL'), their excess part on the total EL is fully available to cover losses identified on all defaulted exposures. Therefore only the overall IRB shortfall, where the amount of provisions does not fully cover the EL of defaulted exposures, should be deducted from the own funds."
,,,"(32) Unreliable, inaccurate, incomplete or outdated data may lead to errors in the risk estimation and in the calculation of own funds requirements. Further, when used in the risk management processes of the institution such data may also lead to wrong credit and management decisions. Consequently, in order to ensure reliability and high quality of data the infrastructure related to gathering and storing of data as well as the  relevant procedures have to be well documented, and there needs to be a full description of the characteristics and the sources of data in order to ensure their proper use in the internal processes and the processes for the calculation of own funds requirements. Hence competent authorities, in the assessment of the IRB Approach, should put particular attention to the quality and documentation of data used in the process of the development of rating systems, in the assignment of exposures to grades or pools and in the calculation of own funds requirements."
,,,"(33) The quality of data and the correctness of risk estimation and of calculation of own funds requirements are highly dependent on the reliability of the IT systems used for the purpose of the IRB Approach. Further, the continuity and consistency of the risk management processes and the calculation of own funds requirements can only be ensured when the IT systems used for those purposes are safe, secure and reliable and the IT infrastructure is sufficiently robust. As a consequence, it is necessary that, in the course of the assessment of the IRB Approach, competent authorities also verify the reliability of the institution's IT systems and the robustness of the IT infrastructure."
,,,"(34) As far as possible non-overlapping observations of returns on equity exposures should be used both for the purpose of development as well as for the validation of internal models for equity exposures. This is because non-overlapping observations ensure higher quality of predictions, given that all observations are assigned the same weight and the observations are not closely correlated to each other."
,,,"(35) The use of the IRB Approach requires approval of the competent authorities and similarly any material changes to that approach have to be approved. As a result, competent authorities should verify that internal process of management and in particular approval of changes ensure that only the changes of good quality are implemented and, in that context, that the classification of changes is consistent in order to avoid any arbitrage."
,,,"(36) The provisions in this Regulation are closely linked, since they all deal with aspects of the assessment methodology that competent authorities are to follow in assessing the compliance of an institution with the IRB Approach. To ensure coherence between those provisions, which should enter into force at the same time, and to facilitate a comprehensive view and compact access to them by persons subject to those obligations, it is desirable to include all of the regulatory technical standards required by Regulation (EU) No 575/2013 in a single Regulation."
,,,(37) This Regulation is based on the draft regulatory technical standards submitted by the European Banking Authority to the Commission.
,,,"(38) The European Banking Authority has conducted open public consultations on the draft regulatory technical standards on which this Regulation is based, analysed the potential related costs and benefits and requested the opinion of the Banking Stakeholder Group established in accordance with Article 37 of Regulation (EU) No 1093/2010 of the European Parliament and of the Council , HAS ADOPTED THIS REGULATION:"
CHAPTER 1 General rules for the assessment methodology,,,
,,Article 1 Scope of assessment criteria to be applied by competent authorities,
,,,"Competent authorities shall apply the relevant provisions of this Regulation for the assessment of the compliance of an institution with the requirements to use the Internal Ratings Based Approach ('IRB Approach') referred to in Articles 144(2), 173(3) and 180(3)(b) of Regulation (EU) No 575/2013, in accordance with the nature of the elements to be assessed and in particular in accordance with the following:"
,,,"(a) in the course of the assessment of an initial application for the IRB Approach, competent authorities shall apply all of the Chapters of this Regulation;"
,,,"(b) where an institution requests the permission to extend the IRB Approach in accordance with the approved sequential implementation plan, competent authorities shall apply only those parts of this Regulation that are relevant to the scope of the request for permission, including in any case, all of the following: Chapter 4 on use test and experience test; Chapter 5 on assignment of exposures to grades or pools; Chapter 7 on rating systems design, operational details and documentation; and Chapter 8 on risk quantification;"
,,,"(c) in the course of the assessment of extensions and changes to the IRB Approach, according to Article 143(3) and (4) of Regulation (EU) No 575/2013, competent authorities shall apply all parts of this Regulation that are relevant with regard to the scope of the model change;"
,,,"(d) in the course of the ongoing review of the IRB Approach, as required in accordance with Article 101 of Directive 2013/36/EU of 26 June 2013 , competent authorities shall decide the scope of the assessment taking into account all particularities of the rating systems and relevant external factors and shall apply all parts of this Regulation that are relevant to the scope of the assessment;"
,,,"(e) in the course of the assessment of the application of an institution to return to the use of less sophisticated approaches in accordance with Article 149 of Regulation (EU) No 575/2013, for the purpose of Article 149(3) of this Regulation competent authorities shall apply Chapter 2 on roll-out plans and permanent partial use of Standardised Approach."
,,Article 2 Scope of methods to be applied by competent authorities,
,,,"1. In the course of the assessment of an initial application for the IRB Approach and of a request to extend the IRB Approach in accordance with the approved sequential implementation plan, competent authorities shall apply the methods referred to in each relevant Chapter as compulsory ('core methods'). Competent authorities may also apply the other methods defined in each relevant Chapter ('additional methods'), as well as any other tests and verifications. Competent authorities shall apply such additional methods, other tests and verifications, to the extent appropriate and based on whether they are relevant to the nature, size and degree of complexity of the institution's business and organisational structure, and in particular taking into account:"
,,,(a) the materiality of the types of exposures covered by rating systems;
,,,(b) the complexity of the rating models and risk parameters and their implementation.
,,,"2. In the course of the assessment of extensions and changes to the IRB Approach, according to Article 143(3) and (4) of Regulation (EU) No 575/2013, competent authorities shall at least review the documents required to be submitted by institutions in accordance with the scope of the change as defined in Article 8 of Commission Delegated Regulation (EU) No 529/2014 of 12 March 2014."
,,,"3. In the course of the regular review of the IRB Approach, as required in accordance with Article 101 of Directive 2013/36/EU of 26 June 2013, competent authorities shall apply those methods, from among the core and additional methods described in each relevant Chapter, which are more appropriate, based on the same considerations as those referred to in points (a) and (b) of paragraph 1."
,,,"4. In the course of the assessment of the application of an institution to return to the use of less sophisticated approaches in accordance with Article 149 of Regulation (EU) No 575/2013, competent authorities shall apply those methods, from among the core and additional methods described in Chapter 2, which are more appropriate, based on the same considerations as those referred to in points (a) and (b) of paragraph 1."
,,,"5. In order to apply the core and additional methods referred to in paragraph 1, competent authorities may take into account the results from recent assessments made by competent authorities, where all of the following conditions are met:"
,,,(a) the assessment was based at least on the core methods;
,,,(b) the assessment was made for a similar rating system in the same class of exposures.
,,Article 3 Quality and auditability of documentation,
,,,"1. In the course of the assessment referred to in Article 1, in order to verify compliance of the institution with the documentation requirement set out in point (e) of Article 144(1) of Regulation (EU) No 575/2013, competent authorities shall verify that the documentation on the rating systems as defined in point (1) of Article 142(1) of Regulation (EU) No 575/2013 meet the requirements of paragraphs 2 and 3 with regard to their quality and auditability, respectively."
,,,"2. In assessing the quality of the documentation referred to in paragraph 1, competent authorities shall verify that the documentation has been produced in a manner that ensures it is sufficiently detailed and accurate in order to allow it to be efficiently used and shall, in particular, verify that:"
,,,(a) the documentation is approved at the appropriate management level of the institution;
,,,"(b) the institution has in place policies outlining specific standards to ensure sufficiently detailed and accurate internal documentation, and that the specific persons or units are assigned for ensuring that the documentation maintained is complete, consistent, accurate, updated, approved as appropriate and secure;"
,,,"(c) the documentation contains, with regard to each document, at least the following information:"
,,,(i) type of document;
,,,(ii) author;
,,,(iii) reviewer;
,,,(iv) authorising agent and owner;
,,,(v) dates of development and approval;
,,,(vi) version number;
,,,(vii) history of changes to the document;
,,,"(d) the institution adequately documents its policies, procedures and methodologies related to the application of the IRB Approach."
,,,"3. For the purposes of this article, to assess the auditability of documentation as referred to in paragraph 1, competent authorities shall verify that the documentation has been produced in a manner that allows third parties to examine and confirm the functioning of the rating systems and shall, in particular, verify that:"
,,,"(e) the documentation of the rating system design is sufficiently detailed to allow third parties to understand the reasoning, including the assumptions, mathematical formulas and decisions where human judgement is involved, as well as the procedures underlying the development of the rating system;"
,,,(f) the documentation of the rating system is sufficiently detailed to allow third parties to understand the operation of each rating model and risk parameter and its limitations and key assumptions and to replicate the model development;
,,,(g) the documentation of the rating process is sufficiently detailed to allow third parties to understand the method for and the actual assignment of exposures to grades or pools and to replicate the grade or pool assignment.
,,Article 4 Third party involvement,
,,,"1. Where an institution has delegated tasks, activities or functions related to the design, implementation and validation of its rating systems to a third party, or has purchased a rating system or pooled data from a third party, competent authorities shall verify that that delegation or purchase does not hinder the application of the methodology referred to in this Regulation."
,,,"2. For the purpose of paragraph 1, competent authorities shall verify in particular that:"
,,,"(a) the senior management as well as the management body or the committee designated by it are actively involved in the supervision and decision making  over the tasks, activities or functions delegated to a third party and over the rating systems obtained from third parties;"
,,,"(b) the institution's own staff has sufficient knowledge and understanding of the tasks, activities or functions delegated to third parties and of the structure of data and rating systems obtained from a third party;"
,,,"(c) continuity of the outsourced functions or processes is ensured, including by means of appropriate contingency planning;"
,,,"(d) internal audit or other control of the tasks, activities and functions delegated to third parties is not limited or inhibited by the involvement of the third party;"
,,,(e) full access is granted to competent authorities to all relevant information.
,,,"3. Where a third party is involved in the tasks of developing a rating system and risk estimation for an institution, in addition to the requirements laid down in paragraph 2 competent authorities shall verify that the validation activities with regard to those rating systems and those risk estimates are not performed by that third party. However, the third party may provide the institution with the information necessary for those validation activities. Where, for the purpose of developing a rating system and risk estimation, the institution uses data that is pooled across institutions and a third party is developing the rating system, the third party may assist the institution in its validation activities by performing those tasks of validation which require access to the pooled data."
,,,"4. For the purpose of applying paragraphs 1 to 3, competent authorities shall apply all of the following core methods:"
,,,(a) review the agreements with the third party and other relevant documents which specify the tasks of the third party;
,,,"(b) obtain written statements or interview the relevant staff and senior management or the management body or the committee of the institution designated by the management body or the third party to whom the task, activity or function is delegated."
,,,"5. For the purpose of applying paragraphs 1 to 3, competent authorities may also apply the additional method of reviewing other relevant documents of the institution or of the third party."
,,Article 5 Temporary non-compliance with the requirements of the IRB Approach,
,,,"For the purposes of Article 146 of Regulation (EU) No 575/2013, and where the institution does not manage to demonstrate to the satisfaction of competent authorities that the effect of non-compliance is immaterial in accordance with point (b) of that Article, competent authorities, in the context of assessing the fulfilment of the conditions of point"
,,,"(a) of that Article, shall in particular:"
,,,"(a) review the institution's plan to return to compliance, in particular assess whether the planned measures are sufficient to remedy the non-compliance and the time schedule is reasonable taking into account the materiality of the noncompliance, the extent of the measures required to return to compliance and the resources available to the institution;"
,,,(b) confirm their agreement with the plan referred to in point (a) or propose and agree with the institution an alternative appropriate plan for return to compliance;
,,,(c) monitor on a regular basis the progress in the realisation of the institution's plan to return to compliance;
,,,(d) after the implementation of the plan verify the institution's compliance with the relevant requirements by applying this Regulation in the scope relevant to the scope of previous non-compliance.
