Section,Topic,Paragraph
,,(a) The downturn component of LGD estimation for defaulted exposures as referred to in paragraph 193(b)(i) of the [EBA GL on PD and LGD estimation] should be quantified by either: (i) calibrating downturn LGD for the defaulted exposures under consideration for each reference date in accordance with Section 4.3 by inferring the downturn component of the LGD in default for each reference date based on the difference between the downturn LGD estimates and ELBE; or (ii) first calibrating downturn LGD in accordance with Section 4.3 for the defaulted exposures under consideration for the moment of default and subsequently inferring the downturn component of the LGD in default at other reference dates  based on the difference between the downturn LGD estimates at the moment of default and ELBE at the moment of default.
,,"(b) In order to comply with paragraph 21(a)(ii), institutions may use the downturn component of the LGD estimates for non-defaulted exposures instead of the downturn component for defaulted exposures at the moment of default where the institution can provide evidence that this results in more conservative estimates."
,,"(c) In order to comply with paragraph 21(b) and where institutions use separate estimation methodologies for long-run average and downturn LGD in accordance with paragraph 16(a), the downturn component of the LGD estimates for non-defaulted exposures may be inferred by considering the difference between the resulting downturn LGD estimates and the corresponding long-run average LGDs taking into account paragraph 193 of the [EBA GL on PD and LGD estimation]."
,,4.3 Downturn LGD estimation for a considered downturn period
,,"22. For the purpose of calibrating downturn LGD for each considered downturn period identified in accordance with Regulation (EU) xx/xx [RTS on economic downturn], institutions should use one of the three types of approaches set out in Section 5, Section 6 and Section 7 of these guidelines in accordance with the hierarchy set out in paragraphs 23 to 25 below."
,,"23. Where institutions have sufficient and relevant loss data to conduct the impact analysis set out in paragraph 27, they should calibrate downturn LGD for the considered downturn period in accordance with Section 5 of these guidelines. For this purpose, institutions should ensure that the relevant loss data is available during the considered downturn period as well as during an appropriate period before and after the considered downturn period."
,,"24. Where sufficient and relevant loss data to assess the impact of the considered downturn period is not available but it is possible to calibrate downturn LGD for the considered downturn period by applying the approach set out in Section 6, institutions should calibrate downturn LGD for the considered downturn period in accordance with Section 6 of these guidelines."
,,"25. Where sufficient and relevant loss data to assess the impact of the considered downturn period is not available, and it is not possible to quantify downturn LGD for the considered downturn period by applying the approach set out in Section 6, institutions should calibrate downturn LGD for the considered downturn period in accordance with Section 7 of these guidelines."
,,"26. Regardless of the approach used for calibrating downturn LGD institutions should adhere to the following principles (a) where the approach used involves the estimation or analysis of different intermediate parameters, the aggregation of these intermediate parameters for the purpose of calibrating downturn LGD should start with the parameter where the highest impact is observed in accordance with paragraph 27 or estimated in  accordance with paragraph 30 and any additional impact observed or estimated on other parameters should be added where necessary."
,,(b) The downturn LGD estimates should not be biased by observed or estimated cash flows that are received with a significantly longer time lag than the period referred to in paragraph 156 of [EBA GL on PD and LGD estimation] and which might rather reflect an upturn or improved economic conditions following the considered downturn period.
5 Downturn LGD estimation based on observed impact,,
,,"27. In order to calibrate downturn LGD based on the observed impact of a considered downturn period, institutions should carry out an analysis of the impact of this downturn period on the loss data related to the considered calibration segment."
,,"(a) The analysis shall comprise at a minimum all of the following: (i) evidence of elevated levels of realised LGDs, driven by the considered downturn period taking into account all of the following: (1)the realised LGDs should be calculated as averages related to all defaults that occurred in a considered year and that have either reached their maximum time of recovery in accordance with paragraph 156 [EBA GL on PD and LGD estimation] or have been closed before; (2) for all incomplete recovery processes of defaulted exposures that have not reached their maximum time of recovery in accordance with paragraph 156 [EBA GL on PD and LGD estimation], the marginal recoveries reached in each year after defaultshould be computed. The resulting recovery patterns should be compared to the recovery patterns of the defaults considered in letter (1) for each year in which the defaults occurred. (ii) evidence of decreased annual recoveries by sources of recoveries that are relevant for the considered calibration segment. These annual recoveries should be analysed with and without repossessions where applicable and irrespective of the date of default; (iii) evidence of decreased numbers of exposures that defaulted and returned back to the non-defaulted status within a predefined fixed horizons for all defaults that happened in a considered year in accordance with Article 178(5) of Regulation (EU) No 575/2013; The predefined fixed horizon should be appropriate for the type of exposure under consideration."
,,(iv) evidence of increased time in default per year related to all defaults in a considered year. 
,,"(b) The analysis required in paragraph 27(a) shall take into account as many points in time as possible where sufficient relevant loss data is available. Otherwise, if only scarce relevant loss data is available on an annual basis, institutions should merge consecutive years of observations as long as deemed of added value for the analysis."
,,"(c) The analysis required in paragraph 27(a) and (b), shall take into account any lag between a downturn period and the time when its potential impact is observed on the relevant loss data."
,,"28. Based on the evidence obtained from the impact analysis referred to in paragraph 27, institutions should calibrate downturn LGD by applying an estimation methodology which is coherent with the evidence obtained from the impact analysis."
,,"29. Where the impact analysis conducted in accordance with paragraph 27 shows no impact of a downturn period on an institution's relevant loss data, such that the average observed realised losses in this downturn period are not different from those under other economic conditions, the institution may use the long-run average LGD as downturn LGD, where all of the following applies: (a) the institution ensures and documents that the deficiencies identified and MoC applied in accordance with Section 4.4 of the [EBA GL on PD and LGD estimation] incorporate all additional elements of uncertainty related to the identified downturn periods; (b) for the purpose of letter (a), the institution should in particular verify that, for the considered downturn period, none of the deficiencies identified under the Category A, MoC in accordance with paragraph 37(a) of [EBA GL on PD and LGD estimation] are of higher severity and that no additional deficiencies or adjustments under the Category B MoC in accordance with paragraph 37(b) of [EBA GL on PD and LGD estimation] are applicable."
6 Downturn LGD estimation based on estimated impact,,
,,"30. Where paragraph 24 applies, institutions should calibrate downturn LGD using one of the methodologies specified in paragraph 31 ('haircut approach') and paragraph 32 ('extrapolation approach') or a combination of those. Prior to quantifying its downturn LGD estimates, institutions should choose the most relevant methodology based on: (a) the appropriateness of the methodology to estimate the impact of the downturn period under consideration on a realised LGDs, intermediate parameters or risk drivers; (b) where relevant, the need to use a combination of the methodologies to ensure that the resulting downturn LGDs for the downturn period under consideration adequately reflect a potential downturn impact on all material components of  economic loss in accordance with Section 6.3.1 of the [EBA GL on PD and LGD estimation] and in accordance with the principles set out in paragraph 26; In particular the haircut approach should be considered most appropriate for the above purposes where the market value or an according index related to a relevant type of collateral serves as a direct or transformed input into an institution's model for LGD estimation and has been identified as a relevant economic factor in accordance with Article 2 of Regulation (EU) No xx/xxx [RTS on economic downturn]. 31. ('Haircut approach') For the purpose of these guidelines, a 'haircut approach' refers to an approach for the estimation of the impact of the downturn period on realised LGDs, intermediate parameters or risk drivers in which one or several economic factors as referred to in Regulation (EU) xx/xx [RTS on economic downturn] are direct or transformed input(s) in the LGD model and where for the purpose of this estimation these input(s) are adjusted to reflect the impact of the downturn period under consideration. In particular, where the considered economic factor relates to the downturn period under consideration, the haircut should be based on the most severe observation of this economic factor in accordance with the specification of the severity of an economic downturn laid down in Article 3 of Regulation (EU) xx/xx [RTS on economic downturn]. 32. ('Extrapolation Approach') For the purposes of these guidelines, an 'extrapolation approach' refers to the estimation of the impact of the downturn period under consideration on LGDs, intermediate parameters or risk drivers if all of the following conditions are met: (a) where a statistically significant dependency between the realised LGDs, intermediate parameters or risk drivers, averaged over appropriate periods in time, and the economic factorsselected in accordance with Article 2 of Regulation xx/xxx [RTS on economic downturn] which are relevant for the downturn period under consideration, can be established the resulting estimates are based on the extrapolated values of the average realised LGDs, intermediate parameters or risk drivers to the period reflecting the impact of the downturn period; (b) where no statistically significant dependency as described in paragraph 32(a) can be established for an intermediate parameter or risk driver, institutions may estimate the impact of the downturn period under consideration on an intermediate parameter or risk driver based on observed data from a different period, where all of following three conditions are met: (i) at least those components of economic loss that explain the major share of the total economic loss should be estimated by either a haircut approach in accordance with paragraph 31 or an extrapolation approach in accordance with paragraph 32(a); (ii) the institution has observed data for the intermediate parameter or risk driver for a sufficient period of time which is at least as long as the period referred to in Article 181(1)(j) or Article 181(2), last subparagraph of Regulation (EU) No 575/2013; this period of time should include a period  where the economic factor(s) underlying the considered downturn period show values representing adverse economic conditions. (iii) the intermediate parameter or risk driver under consideration shows low volatility in the periods referred to in sub point (ii)."
,,33. Where institutions have observed data covering the downturn period and reflecting the impact of the respective downturn conditions under consideration on an intermediate parameter or risk driver they should use the observed data in combination with the Haircut or Extrapolation Approach to calibrate downturn LGD for the considered downturn period in accordance with paragraph 30.
,,"34. Where institutions apply any of the approaches outlined in paragraphs 31 to 33 for the purpose of estimating intermediate parameters or risk drivers, they should ensure that the dependency structure between intermediate parameters or risk drivers is reflected appropriately in the aggregation of these intermediate parameters or risk drivers in accordance with paragraph 30."
,,"35. To reflect the lack of sufficient loss data, institutions should quantify a strictly positive"
,,"Category A MoC in accordance with paragraph 37(a)(xi) of the [EBA GL on PD and LGD estimation] for all approaches in this section. In particular, institutions applying an extrapolation approach: (a) as referred to in paragraph 32(a), should quantify the Category A MoC by using an appropriate confidence interval to reflect the uncertainty related to the statistical model used to describe the dependency between the realised LGDs, intermediate parameters or risk drivers and the relevant economic factors; (b) for an intermediate parameter or risk driver as referred to in paragraph 32(b), should quantify the Category A MoC taking into account the ratio of the value(s) of the economic factor(s) underlying the considered downturn period identified in accordance with Article 3 of Regulation xx/xxx [RTS on economic downturn] and value(s) of the relevant economic factor(s) observed in the periods referred to in paragraph 32(b)(ii)."
7 Downturn LGD estimation where observed or estimated impact is not available,,
,,"36. Where the relevant loss data to assess the impact of the downturn period under consideration is not available and it is also not possible to calibrate downturn LGD for the considered downturn period in accordance with Section 6 of these guidelines, institutions  should quantify downturn LGD through any other approach subject to the following conditions:"
,,(a) they should ensure that the appropriate MoC required to be applied in accordance with Section 4.4.3 of the [EBA GL on PD and LGD estimation] includes a Category A
,,MoC that is strictly positive to account for the missing data;
,,(b) they should ensure that the resulting downturn LGD estimates including the final
,,"MoC as set out in paragraph 45 of the [EBA GL on PD and LGD estimation], for the considered downturn period are higher or equal to the minimum between  the according long-run average LGDs plus an add-on of 15 percentage points and 105%; Moreover, they should provide justification to the satisfaction of the competent authority that they cannot calibrate downturn LGD appropriate for the considered downturn period by applying any of the approaches set out in Section 5 and Section 6 of these guidelines."
8 Reference Value,,
,,37. Institutions should calculate a reference value in accordance with the following sequence of steps:
,,"(a) Using all available loss data, institutions should select the two individual years with the highest observed economic loss by: (i) grouping all defaults according to the year in which the defaults occurred; (ii) for each year as identified in (i) calculating for the defaults that occurred in the considered year the ratio of total economic loss as specified in Section 6.3.1 of the [EBA GL on PD and LGD estimation] to the total outstanding amount of the according credit obligations at the moment of default; (iii) selecting the two individual years with the highest annual ratio of total economic loss to total outstanding amount resulting from (ii) as the two individual years with the highest observed economic losses."
,,"(b) Institutions should calculate the reference value(s) at least for each calibration segment as the simple average of the average realised LGDs from the two individual years with the highest observed economic losses, as identified in paragraph 37(a)(iii)."
